path,difficulty,n,gates,rx,rz,cx,swap,exact_rx_pi,near_rx_pi_1e-3,cliffordish_1e-3,greedy_exact_gates,greedy_exact_reduction,greedy_snap_1e3_gates,greedy_snap_1e3_reduction,linear_window_count,linear_identity_windows,linear_perm_windows,linear_max_window,candidate_x_cxswap_1e3,candidate_x_swaponly_1e3,qiskit_raw_native_size,qiskit_raw_native_depth,qiskit_raw_auto_size,qiskit_raw_auto_depth,qiskit_snap_1e3_native_size,qiskit_snap_1e3_native_depth,qiskit_snap_1e3_auto_size,qiskit_snap_1e3_auto_depth,qiskit_snap_1e3_snapped,sv_peak,sv_peak_prob,cand_cxswap_matches_sv,cand_swaponly_matches_sv
challenges/easy/challenge-16_12.qasm,easy,16,291,65,89,129,8,4,4,101,291,0.0,291,0.0,73,0,2,6,0010001000001010,0000001001000110,283,93,228,80,286,92,226,78,129,1111000101101011,0.4665367321191776,False,False
challenges/easy/challenge-24_13.qasm,easy,24,550,176,163,206,5,2,2,142,550,0.0,550,0.0,142,0,3,5,000000000001000000000001,000000000000010000000001,544,136,413,115,551,137,400,113,227,,,,
challenges/easy/challenge-32_14.qasm,easy,32,875,243,299,330,3,2,2,229,875,0.0,874,0.0011428571428571122,226,0,1,6,00000000100010000000000000000000,00000000100010000000000000000000,872,169,666,135,868,169,647,134,345,,,,
challenges/easy/challenge-36_15.qasm,easy,36,1752,617,742,393,0,0,1,23,1752,0.0,1747,0.0028538812785388057,278,0,0,6,000100000000000000000000000000000000,000100000000000000000000000000000000,1752,207,1097,145,1744,206,1093,145,101,,,,
challenges/easy/challenge-40_16.qasm,easy,40,969,301,302,361,5,5,6,259,969,0.0,968,0.0010319917440660964,262,0,2,5,0100010010010000000000100100000000110000,0101010000010000000000100000001000000000,964,174,760,142,963,173,760,142,364,,,,
challenges/easy/challenge-40_17.qasm,easy,40,779,208,233,326,12,5,6,224,779,0.0,779,0.0,207,0,6,5,1000010010011000000100001010000000001000,1000000000000100000100001100010000000000,767,156,614,131,768,156,607,131,329,,,,
challenges/easy/challenge-40_18.qasm,easy,40,1328,343,469,515,1,3,3,340,1328,0.0,1323,0.0037650602409639022,349,0,1,11,0000000000000000000010000000000000100010,0000000000001000000000000000000000100010,1327,199,1036,167,1335,199,1019,167,549,,,,
challenges/easy/challenge-48_19.qasm,easy,48,901,282,263,356,0,6,7,301,899,0.002219755826859071,895,0.006659267480577102,209,0,0,9,001000100100000000001000000000000000011001000001,000000100100000000001000000000000000010001010001,916,143,626,117,908,143,619,117,426,,,,
challenges/easy/challenge-48_20.qasm,easy,48,917,270,319,327,1,5,5,242,917,0.0,914,0.0032715376226826187,220,0,2,10,000000000001000000110000001000000000010000000000,000000000001000000110000000000000000010000000001,916,178,649,135,918,178,647,135,339,,,,
challenges/easy/challenge-48_21.qasm,easy,48,1103,308,347,444,4,6,6,309,1103,0.0,1103,0.0,262,0,1,7,000000010100000010000000000000010000100000000100,000000001000000010000000000010010000100000000100,1099,199,822,164,1097,194,816,161,460,,,,
challenges/easy/challenge-56_22.qasm,easy,56,702,191,212,299,0,15,16,218,702,0.0,701,0.0014245014245014564,186,0,0,6,00000000101100010011000000000100111100010010100100100001,00000000100100010011000000000100011100010011100100100001,702,142,566,122,720,142,548,122,297,,,,
