path,difficulty,challenge,qubits,file_bytes,nonempty_qasm_lines,gates,one_qubit_gates,two_qubit_gates,measurements,gate_set,statevector_gib,peak_scan_extra_gib,exact_statevector_safe
challenges/easy/challenge-8_11.qasm,easy,8_11,8,2722,120,117,79,38,0,"cx,rx,rz,swap",3.814697265625e-06,1.9073486328125e-06,True
challenges/moderate/challenge-8_27.qasm,moderate,8_27,8,10302,462,459,286,173,0,"cx,rx,rz,swap",3.814697265625e-06,1.9073486328125e-06,True
challenges/very easy/challenge-8_1.qasm,very easy,8_1,8,1138,49,46,31,15,0,"cx,rx,rz,swap",3.814697265625e-06,1.9073486328125e-06,True
challenges/easy/challenge-16_12.qasm,easy,16_12,16,5782,294,291,154,137,0,"cx,rx,rz,swap",0.0009765625,0.00048828125,True
challenges/moderate/challenge-16_28.qasm,moderate,16_28,16,33957,1673,1670,977,693,0,"cx,rx,rz",0.0009765625,0.00048828125,True
challenges/very easy/challenge-16_2.qasm,very easy,16_2,16,6638,311,308,183,125,0,"cx,rx,rz,swap",0.0009765625,0.00048828125,True
challenges/easy/challenge-24_13.qasm,easy,24_13,24,12295,553,550,339,211,0,"cx,rx,rz,swap",0.25,0.03125,True
challenges/moderate/challenge-24_29.qasm,moderate,24_29,24,64679,3089,3086,1816,1270,0,"cx,rx,rz,swap",0.25,0.03125,True
challenges/very easy/challenge-24_3.qasm,very easy,24_3,24,8257,366,363,232,131,0,"cx,rx,rz,swap",0.25,0.03125,True
challenges/very easy/challenge-28_4.qasm,very easy,28_4,28,32323,1223,1220,942,278,0,"cx,rx,rz",4.0,0.03125,True
challenges/easy/challenge-32_14.qasm,easy,32_14,32,19668,878,875,542,333,0,"cx,rx,rz,swap",64.0,0.03125,False
challenges/moderate/challenge-32_30.qasm,moderate,32_30,32,43993,1980,1977,1171,806,0,"cx,rx,rz,swap",64.0,0.03125,False
challenges/very easy/challenge-32_5.qasm,very easy,32_5,32,16778,776,773,459,314,0,"cx,rx,rz,swap",64.0,0.03125,False
challenges/easy/challenge-36_15.qasm,easy,36_15,36,46700,1755,1752,1359,393,0,"cx,rx,rz",1024.0,0.03125,False
challenges/very easy/challenge-36_6.qasm,very easy,36_6,36,11304,429,426,332,94,0,"cx,rx,rz",1024.0,0.03125,False
challenges/easy/challenge-40_16.qasm,easy,40_16,40,21924,972,969,603,366,0,"cx,rx,rz,swap",16384.0,0.03125,False
challenges/easy/challenge-40_17.qasm,easy,40_17,40,16211,782,779,441,338,0,"cx,rx,rz,swap",16384.0,0.03125,False
challenges/easy/challenge-40_18.qasm,easy,40_18,40,29866,1331,1328,812,516,0,"cx,rx,rz,swap",16384.0,0.03125,False
challenges/hard/challenge-40_35.qasm,hard,40_35,40,64001,2953,2950,1757,1193,0,"cx,rx,rz",16384.0,0.03125,False
challenges/very easy/challenge-40_7.qasm,very easy,40_7,40,5090,214,211,152,59,0,"cx,rx,rz",16384.0,0.03125,False
challenges/easy/challenge-48_19.qasm,easy,48_19,48,19036,904,901,545,356,0,"cx,rx,rz",4194304.0,0.03125,False
challenges/easy/challenge-48_20.qasm,easy,48_20,48,21004,920,917,589,328,0,"cx,rx,rz,swap",4194304.0,0.03125,False
challenges/easy/challenge-48_21.qasm,easy,48_21,48,24221,1106,1103,655,448,0,"cx,rx,rz,swap",4194304.0,0.03125,False
challenges/hard/challenge-48_36.qasm,hard,48_36,48,60445,2808,2805,1655,1150,0,"cx,rx,rz,swap",4194304.0,0.03125,False
challenges/hard/challenge-48_37.qasm,hard,48_37,48,68724,3508,3505,2024,1481,0,"cx,rx,rz",4194304.0,0.03125,False
challenges/moderate/challenge-48_31.qasm,moderate,48_31,48,26613,1268,1265,723,542,0,"cx,rx,rz,swap",4194304.0,0.03125,False
challenges/moderate/challenge-48_32.qasm,moderate,48_32,48,38631,1793,1790,1067,723,0,"cx,rx,rz,swap",4194304.0,0.03125,False
challenges/very easy/challenge-48_8.qasm,very easy,48_8,48,5116,230,227,143,84,0,"cx,rx,rz",4194304.0,0.03125,False
challenges/very_hard/challenge-48_42.qasm,very_hard,48_42,48,559084,20736,20733,16512,4221,0,"cx,rx,rz",4194304.0,0.03125,False
challenges/easy/challenge-56_22.qasm,easy,56_22,56,15297,705,702,403,299,0,"cx,rx,rz",1073741824.0,0.03125,False
challenges/easy/challenge-56_23.qasm,easy,56_23,56,36921,1749,1746,1060,686,0,"cx,rx,rz,swap",1073741824.0,0.03125,False
challenges/easy/challenge-56_24.qasm,easy,56_24,56,31739,1421,1418,881,537,0,"cx,rx,rz,swap",1073741824.0,0.03125,False
challenges/hard/challenge-56_38.qasm,hard,56_38,56,109535,5942,5939,3180,2759,0,"cx,rx,rz",1073741824.0,0.03125,False
challenges/hard/challenge-56_39.qasm,hard,56_39,56,59545,2786,2783,1638,1145,0,"cx,rx,rz,swap",1073741824.0,0.03125,False
challenges/moderate/challenge-56_33.qasm,moderate,56_33,56,29135,1513,1510,835,675,0,"cx,rx,rz",1073741824.0,0.03125,False
