challenge	rank	bitstring	count	shot_fraction	stored_fraction
8_1	1	10101101	11207	0.91202799	0.91202799
8_1	2	00101101	476	0.038736979	0.038736979
8_1	3	10101111	161	0.013102214	0.013102214
8_1	4	10101000	145	0.01180013	0.01180013
8_1	5	10101001	139	0.011311849	0.011311849
8_1	6	10101110	137	0.011149089	0.011149089
8_1	7	00101111	7	0.00056966146	0.00056966146
8_1	8	00101110	6	0.00048828125	0.00048828125
8_1	9	00101001	5	0.00040690104	0.00040690104
8_1	10	00101000	3	0.00024414062	0.00024414062
8_1	11	10001101	2	0.00016276042	0.00016276042
16_2	1	1010101011001000	5717	0.46525065	0.46525065
16_2	2	1011101011001000	1184	0.096354167	0.096354167
16_2	3	1010101011001100	807	0.065673828	0.065673828
16_2	4	1010101011001110	581	0.047281901	0.047281901
16_2	5	0010101011001000	464	0.037760417	0.037760417
16_2	6	1010111011001000	326	0.026529948	0.026529948
16_2	7	1010101011001010	298	0.024251302	0.024251302
16_2	8	1010101001001000	239	0.01944987	0.01944987
16_2	9	1010101011000000	205	0.016682943	0.016682943
16_2	10	1010101001000000	130	0.010579427	0.010579427
16_2	11	1011101011001100	114	0.0092773438	0.0092773438
16_2	12	1011101011001110	111	0.0090332031	0.0090332031
16_2	13	0011101011001000	110	0.0089518229	0.0089518229
16_2	14	1010111011000000	104	0.0084635417	0.0084635417
16_2	15	1010111011000100	89	0.0072428385	0.0072428385
16_2	16	1011111011000000	76	0.0061848958	0.0061848958
16_2	17	1011101011000100	72	0.005859375	0.005859375
16_2	18	1000100011101000	68	0.0055338542	0.0055338542
16_2	19	1000101011101000	59	0.0048014323	0.0048014323
16_2	20	1011111011001000	54	0.0043945312	0.0043945312
24_3	1	011110010000101010001000	8836	0.71907552	0.71907552
24_3	2	011110000000101010001000	585	0.047607422	0.047607422
24_3	3	011100010000101010001000	529	0.04305013	0.04305013
24_3	4	011110000001101010001000	465	0.037841797	0.037841797
24_3	5	011110000000101010101000	419	0.034098307	0.034098307
24_3	6	011110000000101010011000	317	0.025797526	0.025797526
24_3	7	011111000000101010001000	306	0.024902344	0.024902344
24_3	8	011111010000101010011000	67	0.005452474	0.005452474
24_3	9	001110010000101010001000	60	0.0048828125	0.0048828125
24_3	10	011110010000101010101000	55	0.0044759115	0.0044759115
24_3	11	011111000000101010011000	46	0.0037434896	0.0037434896
24_3	12	000110010000101010001000	37	0.0030110677	0.0030110677
24_3	13	011100000000101010001000	37	0.0030110677	0.0030110677
24_3	14	010110010000101010001000	34	0.0027669271	0.0027669271
24_3	15	011100000001101010001000	31	0.0025227865	0.0025227865
24_3	16	011110010001101010001000	27	0.0021972656	0.0021972656
24_3	17	011100000000101010011000	22	0.0017903646	0.0017903646
24_3	18	011100000000101010101000	20	0.0016276042	0.0016276042
24_3	19	011110010000101010111000	19	0.001546224	0.001546224
24_3	20	011111010001101010001000	19	0.001546224	0.001546224
28_4	1	1111111000101010110110011111	3888	0.15820312	0.19027112
28_4	2	1101111000101010110110011111	1146	0.046630859	0.056082999
28_4	3	1111111000100010110110011111	608	0.024739583	0.029754331
28_4	4	1111111000101010110110011101	480	0.01953125	0.023490261
28_4	5	1111111000101010110110111111	379	0.015421549	0.018547519
28_4	6	1111111000101010010110011111	375	0.015258789	0.018351767
28_4	7	1111111000101010110110001111	368	0.014973958	0.0180092
28_4	8	1111111000101010110110011011	330	0.013427734	0.016149555
28_4	9	1111111000101010100110011111	291	0.01184082	0.014240971
28_4	10	1111111000101010110110011110	289	0.01175944	0.014143095
28_4	11	1111111000101010110110010111	273	0.011108398	0.013360086
28_4	12	1111111000101000110110011111	245	0.0099690755	0.011989821
28_4	13	1111111100101010110110011111	243	0.0098876953	0.011891945
28_4	14	1111110000101010110110011111	221	0.008992513	0.010815308
28_4	15	1111111000101010110010011111	208	0.0084635417	0.010179113
28_4	16	1101111000101010110110111111	187	0.0076090495	0.0091514143
28_4	17	1101111000100010110110011111	183	0.0074462891	0.0089556621
28_4	18	1111111001101010110110011111	150	0.0061035156	0.0073407067
28_4	19	1101111000101010110110011101	147	0.0059814453	0.0071938925
28_4	20	1101111000101010010110011111	128	0.0052083333	0.0062640697
32_5	1	00111000101010100001000000010000	1735	0.070597331	0.079307035
32_5	2	00111000101011000001000000010000	799	0.032511393	0.036522375
32_5	3	00110000101010100001000001010000	727	0.029581706	0.033231247
32_5	4	00111000101010100000010000010000	644	0.026204427	0.029437309
32_5	5	00111000101011100001000000010000	587	0.023885091	0.026831833
32_5	6	00111000101010000001000000010000	428	0.017415365	0.019563926
32_5	7	00111010101011000001000000010000	323	0.013142904	0.014764364
32_5	8	00111000101011100001000000011000	320	0.013020833	0.014627234
32_5	9	00111000101011000000010000010000	300	0.012207031	0.013713032
32_5	10	00111000101110100001000000010000	297	0.012084961	0.013575902
32_5	11	00110000101010100000010001010000	296	0.012044271	0.013530192
32_5	12	01111100101010100001000000010000	272	0.011067708	0.012433149
32_5	13	00111010101010100001000000010000	230	0.009358724	0.010513324
32_5	14	00111000101011100000010000010000	212	0.0086263021	0.0096905426
32_5	15	00110000101011000001000001010000	210	0.0085449219	0.0095991224
