difficulty,op,bucket,nearest_pi_fraction,count
very easy,rx,numeric_close_pi_fraction,-1,1
very easy,rx,numeric_close_pi_fraction,-1/11,1
very easy,rx,numeric_close_pi_fraction,-1/2,7
very easy,rx,numeric_close_pi_fraction,-1/4,6
very easy,rx,numeric_close_pi_fraction,-2/3,1
very easy,rx,numeric_close_pi_fraction,-3/16,1
very easy,rx,numeric_close_pi_fraction,-3/4,3
very easy,rx,numeric_close_pi_fraction,-5/11,1
very easy,rx,numeric_close_pi_fraction,0,2
very easy,rx,numeric_close_pi_fraction,1/14,1
very easy,rx,numeric_close_pi_fraction,1/2,16
very easy,rx,numeric_close_pi_fraction,1/3,1
very easy,rx,numeric_close_pi_fraction,1/4,7
very easy,rx,numeric_close_pi_fraction,1/5,1
very easy,rx,numeric_close_pi_fraction,1/6,1
very easy,rx,numeric_close_pi_fraction,1/7,1
very easy,rx,numeric_close_pi_fraction,1/8,1
very easy,rx,numeric_close_pi_fraction,13/11,1
very easy,rx,numeric_close_pi_fraction,2/5,1
very easy,rx,numeric_close_pi_fraction,3/4,4
very easy,rx,numeric_close_pi_fraction,6/7,1
very easy,rx,numeric_close_pi_fraction,7/15,1
very easy,rx,numeric_close_pi_fraction,7/16,1
very easy,rx,numeric_close_pi_fraction,9/14,1
very easy,rx,numeric_exact_pi_fraction,-1/2,4
very easy,rx,numeric_exact_pi_fraction,-1/4,4
very easy,rx,numeric_exact_pi_fraction,1/2,6
very easy,rx,numeric_exact_pi_fraction,1/4,1
very easy,rx,numeric_loose_pi_fraction,-1,10
very easy,rx,numeric_loose_pi_fraction,-1/10,3
very easy,rx,numeric_loose_pi_fraction,-1/11,3
very easy,rx,numeric_loose_pi_fraction,-1/12,2
very easy,rx,numeric_loose_pi_fraction,-1/14,1
very easy,rx,numeric_loose_pi_fraction,-1/15,1
very easy,rx,numeric_loose_pi_fraction,-1/16,1
very easy,rx,numeric_loose_pi_fraction,-1/2,17
very easy,rx,numeric_loose_pi_fraction,-1/3,9
very easy,rx,numeric_loose_pi_fraction,-1/4,5
very easy,rx,numeric_loose_pi_fraction,-1/5,1
very easy,rx,numeric_loose_pi_fraction,-1/6,8
very easy,rx,numeric_loose_pi_fraction,-1/7,3
very easy,rx,numeric_loose_pi_fraction,-1/9,6
very easy,rx,numeric_loose_pi_fraction,-10/13,3
very easy,rx,numeric_loose_pi_fraction,-11/12,1
very easy,rx,numeric_loose_pi_fraction,-11/13,2
very easy,rx,numeric_loose_pi_fraction,-11/14,5
very easy,rx,numeric_loose_pi_fraction,-11/15,3
very easy,rx,numeric_loose_pi_fraction,-11/16,3
very easy,rx,numeric_loose_pi_fraction,-12/13,1
very easy,rx,numeric_loose_pi_fraction,-13/14,2
very easy,rx,numeric_loose_pi_fraction,-13/15,1
very easy,rx,numeric_loose_pi_fraction,-14/15,1
very easy,rx,numeric_loose_pi_fraction,-15/16,2
very easy,rx,numeric_loose_pi_fraction,-2/11,1
very easy,rx,numeric_loose_pi_fraction,-2/13,3
very easy,rx,numeric_loose_pi_fraction,-2/15,2
very easy,rx,numeric_loose_pi_fraction,-2/3,3
very easy,rx,numeric_loose_pi_fraction,-2/5,5
very easy,rx,numeric_loose_pi_fraction,-2/7,5
very easy,rx,numeric_loose_pi_fraction,-2/9,2
very easy,rx,numeric_loose_pi_fraction,-3/10,1
very easy,rx,numeric_loose_pi_fraction,-3/11,1
very easy,rx,numeric_loose_pi_fraction,-3/13,4
very easy,rx,numeric_loose_pi_fraction,-3/14,4
very easy,rx,numeric_loose_pi_fraction,-3/16,3
very easy,rx,numeric_loose_pi_fraction,-3/4,11
very easy,rx,numeric_loose_pi_fraction,-3/5,2
very easy,rx,numeric_loose_pi_fraction,-3/7,7
very easy,rx,numeric_loose_pi_fraction,-3/8,5
very easy,rx,numeric_loose_pi_fraction,-4/11,4
very easy,rx,numeric_loose_pi_fraction,-4/13,3
very easy,rx,numeric_loose_pi_fraction,-4/15,6
very easy,rx,numeric_loose_pi_fraction,-4/5,3
very easy,rx,numeric_loose_pi_fraction,-4/7,3
very easy,rx,numeric_loose_pi_fraction,-4/9,2
very easy,rx,numeric_loose_pi_fraction,-5/11,1
very easy,rx,numeric_loose_pi_fraction,-5/12,6
very easy,rx,numeric_loose_pi_fraction,-5/13,2
very easy,rx,numeric_loose_pi_fraction,-5/14,5
very easy,rx,numeric_loose_pi_fraction,-5/16,5
very easy,rx,numeric_loose_pi_fraction,-5/6,2
very easy,rx,numeric_loose_pi_fraction,-5/7,2
very easy,rx,numeric_loose_pi_fraction,-5/8,3
very easy,rx,numeric_loose_pi_fraction,-5/9,3
very easy,rx,numeric_loose_pi_fraction,-6/11,1
very easy,rx,numeric_loose_pi_fraction,-6/13,1
very easy,rx,numeric_loose_pi_fraction,-6/7,2
very easy,rx,numeric_loose_pi_fraction,-7/10,1
very easy,rx,numeric_loose_pi_fraction,-7/11,5
very easy,rx,numeric_loose_pi_fraction,-7/12,5
very easy,rx,numeric_loose_pi_fraction,-7/13,1
very easy,rx,numeric_loose_pi_fraction,-7/15,7
very easy,rx,numeric_loose_pi_fraction,-7/16,2
very easy,rx,numeric_loose_pi_fraction,-7/8,4
very easy,rx,numeric_loose_pi_fraction,-8/11,3
very easy,rx,numeric_loose_pi_fraction,-8/13,6
very easy,rx,numeric_loose_pi_fraction,-8/15,6
very easy,rx,numeric_loose_pi_fraction,-8/9,3
very easy,rx,numeric_loose_pi_fraction,-9/10,2
very easy,rx,numeric_loose_pi_fraction,-9/11,2
very easy,rx,numeric_loose_pi_fraction,-9/13,1
very easy,rx,numeric_loose_pi_fraction,-9/14,4
very easy,rx,numeric_loose_pi_fraction,-9/16,2
very easy,rx,numeric_loose_pi_fraction,0,25
very easy,rx,numeric_loose_pi_fraction,1,17
very easy,rx,numeric_loose_pi_fraction,1/10,6
very easy,rx,numeric_loose_pi_fraction,1/11,3
very easy,rx,numeric_loose_pi_fraction,1/12,1
very easy,rx,numeric_loose_pi_fraction,1/14,3
very easy,rx,numeric_loose_pi_fraction,1/15,1
very easy,rx,numeric_loose_pi_fraction,1/16,2
very easy,rx,numeric_loose_pi_fraction,1/2,22
very easy,rx,numeric_loose_pi_fraction,1/3,9
very easy,rx,numeric_loose_pi_fraction,1/4,9
very easy,rx,numeric_loose_pi_fraction,1/5,7
very easy,rx,numeric_loose_pi_fraction,1/6,7
very easy,rx,numeric_loose_pi_fraction,1/7,5
very easy,rx,numeric_loose_pi_fraction,1/8,3
very easy,rx,numeric_loose_pi_fraction,1/9,7
very easy,rx,numeric_loose_pi_fraction,10/11,1
very easy,rx,numeric_loose_pi_fraction,10/13,4
very easy,rx,numeric_loose_pi_fraction,11/12,2
very easy,rx,numeric_loose_pi_fraction,11/13,4
very easy,rx,numeric_loose_pi_fraction,11/14,2
very easy,rx,numeric_loose_pi_fraction,11/15,12
very easy,rx,numeric_loose_pi_fraction,11/16,4
very easy,rx,numeric_loose_pi_fraction,12/13,2
very easy,rx,numeric_loose_pi_fraction,13/15,4
very easy,rx,numeric_loose_pi_fraction,13/16,3
very easy,rx,numeric_loose_pi_fraction,15/16,4
very easy,rx,numeric_loose_pi_fraction,2/11,5
very easy,rx,numeric_loose_pi_fraction,2/13,5
very easy,rx,numeric_loose_pi_fraction,2/15,3
very easy,rx,numeric_loose_pi_fraction,2/3,7
very easy,rx,numeric_loose_pi_fraction,2/5,3
very easy,rx,numeric_loose_pi_fraction,2/7,3
very easy,rx,numeric_loose_pi_fraction,2/9,2
very easy,rx,numeric_loose_pi_fraction,3/10,10
very easy,rx,numeric_loose_pi_fraction,3/11,5
very easy,rx,numeric_loose_pi_fraction,3/13,9
very easy,rx,numeric_loose_pi_fraction,3/14,6
very easy,rx,numeric_loose_pi_fraction,3/16,6
very easy,rx,numeric_loose_pi_fraction,3/4,12
very easy,rx,numeric_loose_pi_fraction,3/5,13
very easy,rx,numeric_loose_pi_fraction,3/7,6
very easy,rx,numeric_loose_pi_fraction,3/8,9
very easy,rx,numeric_loose_pi_fraction,4/11,9
very easy,rx,numeric_loose_pi_fraction,4/13,2
very easy,rx,numeric_loose_pi_fraction,4/15,9
very easy,rx,numeric_loose_pi_fraction,4/3,1
very easy,rx,numeric_loose_pi_fraction,4/5,2
very easy,rx,numeric_loose_pi_fraction,4/7,9
very easy,rx,numeric_loose_pi_fraction,4/9,2
very easy,rx,numeric_loose_pi_fraction,5/11,6
very easy,rx,numeric_loose_pi_fraction,5/12,15
very easy,rx,numeric_loose_pi_fraction,5/13,13
very easy,rx,numeric_loose_pi_fraction,5/14,6
very easy,rx,numeric_loose_pi_fraction,5/16,14
very easy,rx,numeric_loose_pi_fraction,5/6,2
very easy,rx,numeric_loose_pi_fraction,5/7,7
very easy,rx,numeric_loose_pi_fraction,5/8,4
very easy,rx,numeric_loose_pi_fraction,5/9,4
very easy,rx,numeric_loose_pi_fraction,6/11,4
very easy,rx,numeric_loose_pi_fraction,6/13,3
very easy,rx,numeric_loose_pi_fraction,6/7,5
very easy,rx,numeric_loose_pi_fraction,7/10,5
very easy,rx,numeric_loose_pi_fraction,7/11,7
very easy,rx,numeric_loose_pi_fraction,7/12,12
very easy,rx,numeric_loose_pi_fraction,7/13,3
very easy,rx,numeric_loose_pi_fraction,7/15,7
very easy,rx,numeric_loose_pi_fraction,7/16,3
very easy,rx,numeric_loose_pi_fraction,7/9,1
very easy,rx,numeric_loose_pi_fraction,8/11,1
very easy,rx,numeric_loose_pi_fraction,8/13,7
very easy,rx,numeric_loose_pi_fraction,8/15,8
very easy,rx,numeric_loose_pi_fraction,8/9,2
very easy,rx,numeric_loose_pi_fraction,9/10,4
very easy,rx,numeric_loose_pi_fraction,9/11,4
very easy,rx,numeric_loose_pi_fraction,9/13,7
very easy,rx,numeric_loose_pi_fraction,9/14,4
very easy,rx,numeric_loose_pi_fraction,9/16,6
very easy,rx,numeric_noisy_non_fraction,-1,5
very easy,rx,numeric_noisy_non_fraction,-1/16,9
very easy,rx,numeric_noisy_non_fraction,-1/2,2
very easy,rx,numeric_noisy_non_fraction,-1/3,2
very easy,rx,numeric_noisy_non_fraction,-15/16,7
very easy,rx,numeric_noisy_non_fraction,-7/15,2
very easy,rx,numeric_noisy_non_fraction,-8/15,4
very easy,rx,numeric_noisy_non_fraction,0,20
very easy,rx,numeric_noisy_non_fraction,1,18
very easy,rx,numeric_noisy_non_fraction,1/16,13
very easy,rx,numeric_noisy_non_fraction,1/2,12
very easy,rx,numeric_noisy_non_fraction,1/3,4
very easy,rx,numeric_noisy_non_fraction,11/16,1
very easy,rx,numeric_noisy_non_fraction,15/16,5
very easy,rx,numeric_noisy_non_fraction,5/14,2
very easy,rx,numeric_noisy_non_fraction,5/16,1
very easy,rx,numeric_noisy_non_fraction,7/15,10
very easy,rx,numeric_noisy_non_fraction,8/15,2
very easy,rx,numeric_noisy_non_fraction,9/14,2
very easy,rx,numeric_very_close_pi_fraction,-1/2,47
very easy,rx,numeric_very_close_pi_fraction,-1/4,31
very easy,rx,numeric_very_close_pi_fraction,-3/4,17
very easy,rx,numeric_very_close_pi_fraction,0,1
very easy,rx,numeric_very_close_pi_fraction,1/2,130
very easy,rx,numeric_very_close_pi_fraction,1/4,31
very easy,rx,numeric_very_close_pi_fraction,3/4,20
very easy,rx,symbolic_pi_expr,-1/2,28
very easy,rx,symbolic_pi_expr,-1/4,8
very easy,rx,symbolic_pi_expr,-3/4,4
very easy,rx,symbolic_pi_expr,1,75
very easy,rx,symbolic_pi_expr,1/2,71
very easy,rx,symbolic_pi_expr,1/4,14
very easy,rx,symbolic_pi_expr,3/4,5
very easy,rz,numeric_close_pi_fraction,-1/2,13
very easy,rz,numeric_close_pi_fraction,-1/4,4
very easy,rz,numeric_close_pi_fraction,-1/5,1
very easy,rz,numeric_close_pi_fraction,-3/14,1
very easy,rz,numeric_close_pi_fraction,-3/4,3
very easy,rz,numeric_close_pi_fraction,0,3
very easy,rz,numeric_close_pi_fraction,1,1
very easy,rz,numeric_close_pi_fraction,1/2,12
very easy,rz,numeric_close_pi_fraction,1/4,4
very easy,rz,numeric_close_pi_fraction,1/5,1
very easy,rz,numeric_close_pi_fraction,1/6,1
very easy,rz,numeric_close_pi_fraction,2/9,1
very easy,rz,numeric_close_pi_fraction,3/10,3
very easy,rz,numeric_close_pi_fraction,3/4,3
very easy,rz,numeric_close_pi_fraction,4/15,1
very easy,rz,numeric_close_pi_fraction,5/13,1
very easy,rz,numeric_close_pi_fraction,7/9,1
very easy,rz,numeric_close_pi_fraction,9/11,1
very easy,rz,numeric_exact_pi_fraction,-1/2,7
very easy,rz,numeric_exact_pi_fraction,-1/4,1
very easy,rz,numeric_exact_pi_fraction,1/2,13
very easy,rz,numeric_exact_pi_fraction,1/4,3
very easy,rz,numeric_loose_pi_fraction,-1,12
very easy,rz,numeric_loose_pi_fraction,-1/10,3
very easy,rz,numeric_loose_pi_fraction,-1/11,5
very easy,rz,numeric_loose_pi_fraction,-1/12,7
very easy,rz,numeric_loose_pi_fraction,-1/13,1
very easy,rz,numeric_loose_pi_fraction,-1/14,3
very easy,rz,numeric_loose_pi_fraction,-1/15,2
very easy,rz,numeric_loose_pi_fraction,-1/16,1
very easy,rz,numeric_loose_pi_fraction,-1/2,26
very easy,rz,numeric_loose_pi_fraction,-1/3,7
very easy,rz,numeric_loose_pi_fraction,-1/4,4
very easy,rz,numeric_loose_pi_fraction,-1/5,2
very easy,rz,numeric_loose_pi_fraction,-1/6,5
very easy,rz,numeric_loose_pi_fraction,-1/7,6
very easy,rz,numeric_loose_pi_fraction,-1/8,2
very easy,rz,numeric_loose_pi_fraction,-1/9,5
very easy,rz,numeric_loose_pi_fraction,-10/11,11
very easy,rz,numeric_loose_pi_fraction,-10/13,2
very easy,rz,numeric_loose_pi_fraction,-11/12,3
very easy,rz,numeric_loose_pi_fraction,-11/13,1
very easy,rz,numeric_loose_pi_fraction,-11/14,6
very easy,rz,numeric_loose_pi_fraction,-11/15,5
very easy,rz,numeric_loose_pi_fraction,-11/16,6
very easy,rz,numeric_loose_pi_fraction,-12/13,1
very easy,rz,numeric_loose_pi_fraction,-13/14,1
very easy,rz,numeric_loose_pi_fraction,-13/15,2
very easy,rz,numeric_loose_pi_fraction,-13/16,1
very easy,rz,numeric_loose_pi_fraction,-14/15,4
very easy,rz,numeric_loose_pi_fraction,-15/16,5
very easy,rz,numeric_loose_pi_fraction,-19/12,1
very easy,rz,numeric_loose_pi_fraction,-2/11,5
very easy,rz,numeric_loose_pi_fraction,-2/13,3
very easy,rz,numeric_loose_pi_fraction,-2/15,4
very easy,rz,numeric_loose_pi_fraction,-2/3,11
very easy,rz,numeric_loose_pi_fraction,-2/5,2
very easy,rz,numeric_loose_pi_fraction,-2/7,7
very easy,rz,numeric_loose_pi_fraction,-2/9,1
very easy,rz,numeric_loose_pi_fraction,-3/10,4
very easy,rz,numeric_loose_pi_fraction,-3/11,7
very easy,rz,numeric_loose_pi_fraction,-3/13,3
very easy,rz,numeric_loose_pi_fraction,-3/14,7
very easy,rz,numeric_loose_pi_fraction,-3/16,5
very easy,rz,numeric_loose_pi_fraction,-3/4,9
very easy,rz,numeric_loose_pi_fraction,-3/5,10
very easy,rz,numeric_loose_pi_fraction,-3/7,4
very easy,rz,numeric_loose_pi_fraction,-3/8,4
very easy,rz,numeric_loose_pi_fraction,-4/11,2
very easy,rz,numeric_loose_pi_fraction,-4/13,2
very easy,rz,numeric_loose_pi_fraction,-4/15,6
very easy,rz,numeric_loose_pi_fraction,-4/5,2
very easy,rz,numeric_loose_pi_fraction,-4/7,10
very easy,rz,numeric_loose_pi_fraction,-4/9,2
very easy,rz,numeric_loose_pi_fraction,-5/11,3
very easy,rz,numeric_loose_pi_fraction,-5/12,12
very easy,rz,numeric_loose_pi_fraction,-5/13,8
very easy,rz,numeric_loose_pi_fraction,-5/14,6
very easy,rz,numeric_loose_pi_fraction,-5/16,5
very easy,rz,numeric_loose_pi_fraction,-5/6,5
very easy,rz,numeric_loose_pi_fraction,-5/7,5
very easy,rz,numeric_loose_pi_fraction,-5/8,6
very easy,rz,numeric_loose_pi_fraction,-5/9,6
very easy,rz,numeric_loose_pi_fraction,-6/11,5
very easy,rz,numeric_loose_pi_fraction,-6/13,1
very easy,rz,numeric_loose_pi_fraction,-6/7,2
very easy,rz,numeric_loose_pi_fraction,-7/10,4
very easy,rz,numeric_loose_pi_fraction,-7/11,2
very easy,rz,numeric_loose_pi_fraction,-7/12,11
very easy,rz,numeric_loose_pi_fraction,-7/13,3
very easy,rz,numeric_loose_pi_fraction,-7/15,4
very easy,rz,numeric_loose_pi_fraction,-7/6,1
very easy,rz,numeric_loose_pi_fraction,-7/8,1
very easy,rz,numeric_loose_pi_fraction,-7/9,3
very easy,rz,numeric_loose_pi_fraction,-8/11,7
very easy,rz,numeric_loose_pi_fraction,-8/13,6
very easy,rz,numeric_loose_pi_fraction,-8/15,4
very easy,rz,numeric_loose_pi_fraction,-8/9,1
very easy,rz,numeric_loose_pi_fraction,-9/10,1
very easy,rz,numeric_loose_pi_fraction,-9/11,5
very easy,rz,numeric_loose_pi_fraction,-9/13,1
very easy,rz,numeric_loose_pi_fraction,-9/14,3
very easy,rz,numeric_loose_pi_fraction,0,38
