file_a,difficulty_a,file_b,difficulty_b,op_5gram_cosine
challenges/very easy/challenge-8_1.qasm,very easy,challenges/very easy/challenge-16_2.qasm,very easy,0.42056749
challenges/very easy/challenge-8_1.qasm,very easy,challenges/very easy/challenge-24_3.qasm,very easy,0.49168699
challenges/very easy/challenge-8_1.qasm,very easy,challenges/very easy/challenge-28_4.qasm,very easy,0.27886565
challenges/very easy/challenge-8_1.qasm,very easy,challenges/very easy/challenge-32_5.qasm,very easy,0.51626443
challenges/very easy/challenge-8_1.qasm,very easy,challenges/very easy/challenge-36_6.qasm,very easy,0.29846285
challenges/very easy/challenge-8_1.qasm,very easy,challenges/very easy/challenge-40_7.qasm,very easy,0.27663064
challenges/very easy/challenge-8_1.qasm,very easy,challenges/very easy/challenge-48_8.qasm,very easy,0.38370849
challenges/very easy/challenge-8_1.qasm,very easy,challenges/very easy/challenge-56_9.qasm,very easy,0.47319542
challenges/very easy/challenge-8_1.qasm,very easy,challenges/very easy/challenge-64_10.qasm,very easy,0.46460850
challenges/very easy/challenge-8_1.qasm,very easy,challenges/easy/challenge-8_11.qasm,easy,0.40629960
challenges/very easy/challenge-8_1.qasm,very easy,challenges/easy/challenge-16_12.qasm,easy,0.27224468
challenges/very easy/challenge-8_1.qasm,very easy,challenges/easy/challenge-24_13.qasm,easy,0.47446649
challenges/very easy/challenge-8_1.qasm,very easy,challenges/easy/challenge-32_14.qasm,easy,0.48769240
challenges/very easy/challenge-8_1.qasm,very easy,challenges/easy/challenge-36_15.qasm,easy,0.28240082
challenges/very easy/challenge-8_1.qasm,very easy,challenges/easy/challenge-40_16.qasm,easy,0.52597850
challenges/very easy/challenge-8_1.qasm,very easy,challenges/easy/challenge-40_17.qasm,easy,0.35525208
challenges/very easy/challenge-8_1.qasm,very easy,challenges/easy/challenge-40_18.qasm,easy,0.46212310
challenges/very easy/challenge-8_1.qasm,very easy,challenges/easy/challenge-48_19.qasm,easy,0.41958332
challenges/very easy/challenge-8_1.qasm,very easy,challenges/easy/challenge-48_20.qasm,easy,0.48787505
challenges/very easy/challenge-8_1.qasm,very easy,challenges/easy/challenge-48_21.qasm,easy,0.46023737
