path,difficulty,file,q0,q1,distance,count_undirected_entangling,cx_forward,cx_reverse,swap_count,first_gate_index,last_gate_index,span_fraction
challenges/very easy/challenge-8_1.qasm,very easy,challenge-8_1.qasm,1,2,1,4,2,2,0,2,18,0.34782609
challenges/very easy/challenge-8_1.qasm,very easy,challenge-8_1.qasm,3,7,4,4,2,2,0,24,43,0.41304348
challenges/very easy/challenge-8_1.qasm,very easy,challenge-8_1.qasm,6,7,1,3,2,1,0,31,45,0.30434783
challenges/very easy/challenge-8_1.qasm,very easy,challenge-8_1.qasm,1,5,4,2,2,0,0,7,11,0.08695652
challenges/very easy/challenge-8_1.qasm,very easy,challenge-8_1.qasm,0,5,5,1,1,0,1,12,12,0.00000000
challenges/very easy/challenge-8_1.qasm,very easy,challenge-8_1.qasm,3,6,3,1,1,0,0,20,20,0.00000000
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,9,12,3,8,4,4,0,119,274,0.50324675
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,9,10,1,7,5,2,0,29,218,0.61363636
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,5,12,7,7,4,3,0,41,150,0.35389610
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,6,12,6,7,2,5,0,45,171,0.40909091
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,1,10,9,7,2,5,0,87,188,0.32792208
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,5,6,1,5,3,2,0,18,137,0.38636364
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,0,7,7,5,2,3,0,21,167,0.47402597
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,5,7,2,5,2,3,0,54,262,0.67532468
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,3,10,7,4,3,1,0,30,251,0.71753247
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,2,14,12,4,4,0,0,117,295,0.57792208
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,3,5,2,4,3,1,1,139,265,0.40909091
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,0,2,2,4,2,2,0,231,303,0.23376623
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,4,5,1,3,0,3,0,9,143,0.43506494
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,3,9,6,3,2,1,0,27,221,0.62987013
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,2,10,8,3,2,1,0,104,114,0.03246753
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,2,11,9,3,3,0,0,125,225,0.32467532
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,3,12,9,3,2,1,0,148,250,0.33116883
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,2,5,3,3,3,0,0,162,227,0.21103896
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,13,14,1,3,2,1,0,282,292,0.03246753
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,2,3,1,2,1,1,0,2,4,0.00649351
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,1,11,10,2,2,0,0,39,85,0.14935065
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,7,13,6,2,0,2,0,65,73,0.02597403
challenges/very easy/challenge-16_2.qasm,very easy,challenge-16_2.qasm,1,14,13,2,2,0,0,83,91,0.02597403
