retry_index	original_index	difficulty	challenge	reason	qasm
0	9	easy	48_21	started	challenges/easy/challenge-48_21.qasm
1	12	easy	56_24	started	challenges/easy/challenge-56_24.qasm
2	13	easy	64_25	started	challenges/easy/challenge-64_25.qasm
3	14	easy	64_26	started	challenges/easy/challenge-64_26.qasm
4	16	hard	40_35	started	challenges/hard/challenge-40_35.qasm
5	17	hard	48_36	started	challenges/hard/challenge-48_36.qasm
6	18	hard	48_37	started	challenges/hard/challenge-48_37.qasm
7	19	hard	56_38	started	challenges/hard/challenge-56_38.qasm
8	20	hard	56_39	started	challenges/hard/challenge-56_39.qasm
9	21	hard	64_40	missing	challenges/hard/challenge-64_40.qasm
10	22	hard	64_41	missing	challenges/hard/challenge-64_41.qasm
11	23	moderate	16_28	missing	challenges/moderate/challenge-16_28.qasm
12	24	moderate	24_29	missing	challenges/moderate/challenge-24_29.qasm
13	25	moderate	32_30	missing	challenges/moderate/challenge-32_30.qasm
14	26	moderate	48_31	missing	challenges/moderate/challenge-48_31.qasm
15	27	moderate	48_32	missing	challenges/moderate/challenge-48_32.qasm
16	28	moderate	56_33	missing	challenges/moderate/challenge-56_33.qasm
17	29	moderate	64_34	missing	challenges/moderate/challenge-64_34.qasm
18	30	moderate	8_27	missing	challenges/moderate/challenge-8_27.qasm
19	31	very easy	16_2	missing	challenges/very easy/challenge-16_2.qasm
20	32	very easy	24_3	missing	challenges/very easy/challenge-24_3.qasm
21	33	very easy	28_4	missing	challenges/very easy/challenge-28_4.qasm
22	34	very easy	32_5	missing	challenges/very easy/challenge-32_5.qasm
23	35	very easy	36_6	missing	challenges/very easy/challenge-36_6.qasm
24	36	very easy	40_7	missing	challenges/very easy/challenge-40_7.qasm
25	37	very easy	48_8	missing	challenges/very easy/challenge-48_8.qasm
26	38	very easy	56_9	missing	challenges/very easy/challenge-56_9.qasm
27	39	very easy	64_10	missing	challenges/very easy/challenge-64_10.qasm
28	40	very easy	8_1	missing	challenges/very easy/challenge-8_1.qasm
29	41	very_hard	104_49	missing	challenges/very_hard/challenge-104_49.qasm
30	42	very_hard	48_42	missing	challenges/very_hard/challenge-48_42.qasm
31	43	very_hard	56_43	missing	challenges/very_hard/challenge-56_43.qasm
32	44	very_hard	64_44	missing	challenges/very_hard/challenge-64_44.qasm
33	45	very_hard	72_45	missing	challenges/very_hard/challenge-72_45.qasm
34	46	very_hard	80_46	missing	challenges/very_hard/challenge-80_46.qasm
35	47	very_hard	88_47	missing	challenges/very_hard/challenge-88_47.qasm
36	48	very_hard	96_48	missing	challenges/very_hard/challenge-96_48.qasm
37	strict	easy	24_13	known_mismatch_hd_1_strict_rerun	challenges/easy/challenge-24_13.qasm
