rank,bitstring,order,observation_count,probability_sum,probability_count,mean_probability,sample_count_sum,sources
1,11001001,site,18,9.818064960233059,18,0.5454480533462811,0,temporal_ensemble.runs[0].peak_extraction.best_site_bitstring;temporal_ensemble.runs[0].peak_extraction.candidates[0].site_bitstring;temporal_ensemble.runs[0].raw_site_bitstring;temporal_ensemble.runs[1].peak_extraction.best_site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[0].site_bitstring;temporal_ensemble.runs[1].raw_site_bitstring;temporal_ensemble.runs[2].peak_extraction.best_site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[0].site_bitstring;temporal_ensemble.runs[2].raw_site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.best_site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[0].site_bitstring;tracks.temporal.ensemble.runs[0].raw_site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.best_site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[0].site_bitstring;tracks.temporal.ensemble.runs[1].raw_site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.best_site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[0].site_bitstring;tracks.temporal.ensemble.runs[2].raw_site_bitstring
2,10010011,original,14,7.636272790156952,14,0.5454480564397823,0,temporal_ensemble.best_bitstring_original_order;temporal_ensemble.runs[0].bitstring_original_order;temporal_ensemble.runs[0].peak_extraction.candidates[0].bitstring_original_order;temporal_ensemble.runs[1].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[0].bitstring_original_order;temporal_ensemble.runs[2].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[0].bitstring_original_order;tracks.temporal.ensemble.best_bitstring_original_order;tracks.temporal.ensemble.runs[0].bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[0].bitstring_original_order;tracks.temporal.ensemble.runs[1].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[0].bitstring_original_order;tracks.temporal.ensemble.runs[2].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[0].bitstring_original_order
3,10010011,working,13,5.999928792526842,11,0.5454480720478947,0,baby_multi_front_result.exact_peak_bitstring;best_bitstring_working_order;spawned_bridge_result.exact_peak_bitstring;temporal_ensemble.runs[0].exact_peak_bitstring;temporal_ensemble.runs[1].exact_peak_bitstring;temporal_ensemble.runs[2].exact_peak_bitstring;tracks.spacetime_block.baby_multi_front_result.exact_peak_bitstring;tracks.spacetime_block.spawned_bridge_result.exact_peak_bitstring;tracks.temporal.best_bitstring_working_order;tracks.temporal.ensemble.runs[0].exact_peak_bitstring;tracks.temporal.ensemble.runs[1].exact_peak_bitstring;tracks.temporal.ensemble.runs[2].exact_peak_bitstring;tracks.temporal.progress.peak_bitstring
4,00000000,site,12,3.2726882781386673,12,0.27272402317822225,0,temporal_ensemble.runs[0].peak_extraction.candidates[206].site_bitstring;temporal_ensemble.runs[0].peak_extraction.marginal_site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[206].site_bitstring;temporal_ensemble.runs[1].peak_extraction.marginal_site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[206].site_bitstring;temporal_ensemble.runs[2].peak_extraction.marginal_site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[206].site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.marginal_site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[206].site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.marginal_site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[206].site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.marginal_site_bitstring
5,01010111,original,8,2.0854047326596965e-07,6,3.475674554432827e-08,0,spawned_bridge_bitstring_original_order;temporal_ensemble.runs[0].peak_extraction.candidates[183].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[183].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[183].bitstring_original_order;tracks.spacetime_block.spawned_bridge_bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[183].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[183].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[183].bitstring_original_order
6,01001110,original,8,5.46640273672856e-09,6,9.110671227880932e-10,0,best_bitstring_original_order;temporal_ensemble.runs[0].peak_extraction.candidates[218].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[218].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[218].bitstring_original_order;tracks.temporal.best_bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[218].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[218].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[218].bitstring_original_order
7,00000000,working,6,1.2790074197534655,6,0.21316790329224425,0,baby_multi_front_result.segment_plan.rejected_candidates[1].peak_bitstring;identity_window_candidates[1].peak_bitstring;multi_front_segment_plan.rejected_candidates[1].peak_bitstring;tracks.spacetime_block.baby_multi_front_result.segment_plan.rejected_candidates[1].peak_bitstring;tracks.spacetime_block.identity_window_candidates[1].peak_bitstring;tracks.spacetime_block.multi_front_segment_plan.rejected_candidates[1].peak_bitstring
8,01101000,working,6,0.8847050828905035,6,0.14745084714841725,0,baby_multi_front_result.segment_plan.rejected_candidates[3].peak_bitstring;identity_window_candidates[3].peak_bitstring;multi_front_segment_plan.rejected_candidates[3].peak_bitstring;tracks.spacetime_block.baby_multi_front_result.segment_plan.rejected_candidates[3].peak_bitstring;tracks.spacetime_block.identity_window_candidates[3].peak_bitstring;tracks.spacetime_block.multi_front_segment_plan.rejected_candidates[3].peak_bitstring
9,10101110,working,6,0.6758986749138012,6,0.11264977915230019,0,baby_multi_front_result.segment_plan.rejected_candidates[6].peak_bitstring;identity_window_candidates[6].peak_bitstring;multi_front_segment_plan.rejected_candidates[6].peak_bitstring;tracks.spacetime_block.baby_multi_front_result.segment_plan.rejected_candidates[6].peak_bitstring;tracks.spacetime_block.identity_window_candidates[6].peak_bitstring;tracks.spacetime_block.multi_front_segment_plan.rejected_candidates[6].peak_bitstring
10,01111100,working,6,0.662032751366809,6,0.11033879189446816,0,baby_multi_front_result.segment_plan.rejected_candidates[0].peak_bitstring;identity_window_candidates[0].peak_bitstring;multi_front_segment_plan.rejected_candidates[0].peak_bitstring;tracks.spacetime_block.baby_multi_front_result.segment_plan.rejected_candidates[0].peak_bitstring;tracks.spacetime_block.identity_window_candidates[0].peak_bitstring;tracks.spacetime_block.multi_front_segment_plan.rejected_candidates[0].peak_bitstring
