rank,bitstring,order,observation_count,probability_sum,probability_count,mean_probability,sample_count_sum,sources
1,11001001,site,18,9.818064765342312,18,0.5454480425190174,0,temporal_ensemble.runs[0].peak_extraction.best_site_bitstring;temporal_ensemble.runs[0].peak_extraction.candidates[0].site_bitstring;temporal_ensemble.runs[0].raw_site_bitstring;temporal_ensemble.runs[1].peak_extraction.best_site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[0].site_bitstring;temporal_ensemble.runs[1].raw_site_bitstring;temporal_ensemble.runs[2].peak_extraction.best_site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[0].site_bitstring;temporal_ensemble.runs[2].raw_site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.best_site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[0].site_bitstring;tracks.temporal.ensemble.runs[0].raw_site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.best_site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[0].site_bitstring;tracks.temporal.ensemble.runs[1].raw_site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.best_site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[0].site_bitstring;tracks.temporal.ensemble.runs[2].raw_site_bitstring
2,10010011,original,14,7.636272595266252,14,0.545448042519018,0,temporal_ensemble.best_bitstring_original_order;temporal_ensemble.runs[0].bitstring_original_order;temporal_ensemble.runs[0].peak_extraction.candidates[0].bitstring_original_order;temporal_ensemble.runs[1].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[0].bitstring_original_order;temporal_ensemble.runs[2].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[0].bitstring_original_order;tracks.temporal.ensemble.best_bitstring_original_order;tracks.temporal.ensemble.runs[0].bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[0].bitstring_original_order;tracks.temporal.ensemble.runs[1].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[0].bitstring_original_order;tracks.temporal.ensemble.runs[2].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[0].bitstring_original_order
3,00000000,site,12,3.2726882781385815,12,0.27272402317821515,0,temporal_ensemble.runs[0].peak_extraction.candidates[206].site_bitstring;temporal_ensemble.runs[0].peak_extraction.marginal_site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[206].site_bitstring;temporal_ensemble.runs[1].peak_extraction.marginal_site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[206].site_bitstring;temporal_ensemble.runs[2].peak_extraction.marginal_site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[206].site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.marginal_site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[206].site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.marginal_site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[206].site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.marginal_site_bitstring
4,01010111,original,8,2.0854047326595125e-07,6,3.475674554432521e-08,0,spawned_bridge_bitstring_original_order;temporal_ensemble.runs[0].peak_extraction.candidates[183].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[183].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[183].bitstring_original_order;tracks.spacetime_block.spawned_bridge_bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[183].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[183].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[183].bitstring_original_order
5,01001110,original,8,5.466402736728376e-09,6,9.110671227880626e-10,0,best_bitstring_original_order;temporal_ensemble.runs[0].peak_extraction.candidates[218].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[218].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[218].bitstring_original_order;tracks.temporal.best_bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[218].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[218].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[218].bitstring_original_order
6,00000000,working,6,1.2790074197534655,6,0.21316790329224425,0,baby_multi_front_result.segment_plan.rejected_candidates[1].peak_bitstring;identity_window_candidates[1].peak_bitstring;multi_front_segment_plan.rejected_candidates[1].peak_bitstring;tracks.spacetime_block.baby_multi_front_result.segment_plan.rejected_candidates[1].peak_bitstring;tracks.spacetime_block.identity_window_candidates[1].peak_bitstring;tracks.spacetime_block.multi_front_segment_plan.rejected_candidates[1].peak_bitstring
7,01101000,working,6,0.8847050828905035,6,0.14745084714841725,0,baby_multi_front_result.segment_plan.rejected_candidates[3].peak_bitstring;identity_window_candidates[3].peak_bitstring;multi_front_segment_plan.rejected_candidates[3].peak_bitstring;tracks.spacetime_block.baby_multi_front_result.segment_plan.rejected_candidates[3].peak_bitstring;tracks.spacetime_block.identity_window_candidates[3].peak_bitstring;tracks.spacetime_block.multi_front_segment_plan.rejected_candidates[3].peak_bitstring
8,10101110,working,6,0.6758986749138012,6,0.11264977915230019,0,baby_multi_front_result.segment_plan.rejected_candidates[6].peak_bitstring;identity_window_candidates[6].peak_bitstring;multi_front_segment_plan.rejected_candidates[6].peak_bitstring;tracks.spacetime_block.baby_multi_front_result.segment_plan.rejected_candidates[6].peak_bitstring;tracks.spacetime_block.identity_window_candidates[6].peak_bitstring;tracks.spacetime_block.multi_front_segment_plan.rejected_candidates[6].peak_bitstring
9,01111100,working,6,0.662032751366809,6,0.11033879189446816,0,baby_multi_front_result.segment_plan.rejected_candidates[0].peak_bitstring;identity_window_candidates[0].peak_bitstring;multi_front_segment_plan.rejected_candidates[0].peak_bitstring;tracks.spacetime_block.baby_multi_front_result.segment_plan.rejected_candidates[0].peak_bitstring;tracks.spacetime_block.identity_window_candidates[0].peak_bitstring;tracks.spacetime_block.multi_front_segment_plan.rejected_candidates[0].peak_bitstring
10,00010101,working,6,0.4547310080993495,6,0.07578850134989158,0,baby_multi_front_result.segment_plan.rejected_candidates[4].peak_bitstring;identity_window_candidates[4].peak_bitstring;multi_front_segment_plan.rejected_candidates[4].peak_bitstring;tracks.spacetime_block.baby_multi_front_result.segment_plan.rejected_candidates[4].peak_bitstring;tracks.spacetime_block.identity_window_candidates[4].peak_bitstring;tracks.spacetime_block.multi_front_segment_plan.rejected_candidates[4].peak_bitstring
11,11101101,site,6,0.4121040848882459,6,0.06868401414804098,0,temporal_ensemble.runs[0].peak_extraction.candidates[1].site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[1].site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[1].site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[1].site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[1].site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[1].site_bitstring
12,10110111,original,6,0.4121040848882459,6,0.06868401414804098,0,temporal_ensemble.runs[0].peak_extraction.candidates[1].bitstring_original_order;temporal_ensemble.runs[1].peak_extraction.candidates[1].bitstring_original_order;temporal_ensemble.runs[2].peak_extraction.candidates[1].bitstring_original_order;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[1].bitstring_original_order;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[1].bitstring_original_order;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[1].bitstring_original_order
13,01100100,working,6,0.3167442800532005,6,0.052790713342200084,0,baby_multi_front_result.segment_plan.rejected_candidates[2].peak_bitstring;identity_window_candidates[2].peak_bitstring;multi_front_segment_plan.rejected_candidates[2].peak_bitstring;tracks.spacetime_block.baby_multi_front_result.segment_plan.rejected_candidates[2].peak_bitstring;tracks.spacetime_block.identity_window_candidates[2].peak_bitstring;tracks.spacetime_block.multi_front_segment_plan.rejected_candidates[2].peak_bitstring
14,00001010,working,6,0.3105236799330938,6,0.05175394665551564,0,baby_multi_front_result.segment_plan.rejected_candidates[5].peak_bitstring;identity_window_candidates[5].peak_bitstring;multi_front_segment_plan.rejected_candidates[5].peak_bitstring;tracks.spacetime_block.baby_multi_front_result.segment_plan.rejected_candidates[5].peak_bitstring;tracks.spacetime_block.identity_window_candidates[5].peak_bitstring;tracks.spacetime_block.multi_front_segment_plan.rejected_candidates[5].peak_bitstring
15,11000101,site,6,0.2324794265447295,6,0.03874657109078825,0,temporal_ensemble.runs[0].peak_extraction.candidates[2].site_bitstring;temporal_ensemble.runs[1].peak_extraction.candidates[2].site_bitstring;temporal_ensemble.runs[2].peak_extraction.candidates[2].site_bitstring;tracks.temporal.ensemble.runs[0].peak_extraction.candidates[2].site_bitstring;tracks.temporal.ensemble.runs[1].peak_extraction.candidates[2].site_bitstring;tracks.temporal.ensemble.runs[2].peak_extraction.candidates[2].site_bitstring
