challenge	difficulty	qubits	method	method_family	source_sessions	run_id	rank_type	rank	bitstring_qiskit	score_type	score	count	support	fraction	selected	review	validation	status	source_path	notes
104_49	very_hard	104	aer_mps_adaptive_sweep	mps	mps_adaptive_sweep	adaptive_sweep_aggregate	aggregate_candidate	1	00000000010100100001000111001001001111001001111000001000000101101101011110011101000001011000001100010011	stored_fraction	0.00032552083		0.25	0.00032552083	0		flat_low_support	ok	agent_work/mps_adaptive_sweep/report/tables/mps_adaptive_summary.tsv	aggregate_gap=1; exact_match=False
104_49	very_hard	104	aer_mps_adaptive_sweep	mps	mps_adaptive_sweep	adaptive_sweep_aggregate	aggregate_top_counts	1	00000000010100100001000111001001001111001001111000001000000101101101011110011101000001011000001100010011	stored_fraction	0.00032552083	1		0.00032552083	0			ok	agent_work/mps_adaptive_sweep/report/tables/mps_adaptive_top_counts.tsv	
104_49	very_hard	104	aer_mps_adaptive_sweep	mps	mps_adaptive_sweep	adaptive_sweep_aggregate	aggregate_top_counts	2	00000000100101100000000101010101011000100111011000100001001101101001111011111100111101111010000010010101	stored_fraction	0.00032552083	1		0.00032552083	0			ok	agent_work/mps_adaptive_sweep/report/tables/mps_adaptive_top_counts.tsv	
104_49	very_hard	104	aer_mps_adaptive_sweep	mps	mps_adaptive_sweep	adaptive_sweep_aggregate	aggregate_top_counts	3	00000001001110110101110000101100101100001111101110100101000001111100101110111100111111011010010100001010	stored_fraction	0.00032552083	1		0.00032552083	0			ok	agent_work/mps_adaptive_sweep/report/tables/mps_adaptive_top_counts.tsv	
104_49	very_hard	104	aer_mps_adaptive_sweep	mps	mps_adaptive_sweep	adaptive_sweep_aggregate	aggregate_top_counts	4	00000001010001000100010000011100000101110011110000111110011000111000101000110101001010101110111000111110	stored_fraction	0.00032552083	1		0.00032552083	0			ok	agent_work/mps_adaptive_sweep/report/tables/mps_adaptive_top_counts.tsv	
104_49	very_hard	104	aer_mps_adaptive_sweep	mps	mps_adaptive_sweep	adaptive_sweep_aggregate	aggregate_top_counts	5	00000001011000110000110001011000000101110000101110111111001010110000111110110101001011001000110001110000	stored_fraction	0.00032552083	1		0.00032552083	0			ok	agent_work/mps_adaptive_sweep/report/tables/mps_adaptive_top_counts.tsv	
104_49	very_hard	104	aer_mps_adaptive_sweep	mps	mps_adaptive_sweep	adaptive_sweep_aggregate	aggregate_top_counts	6	00000001100001101100111100110101010101010011101110110100001100000000111100010100011000010000111001111111	stored_fraction	0.00032552083	1		0.00032552083	0			ok	agent_work/mps_adaptive_sweep/report/tables/mps_adaptive_top_counts.tsv	
104_49	very_hard	104	aer_mps_adaptive_sweep	mps	mps_adaptive_sweep	adaptive_sweep_aggregate	aggregate_top_counts	7	00000001100100100100110110111100000111111111100010001101001010111010011011111110100000011101111001101000	stored_fraction	0.00032552083	1		0.00032552083	0			ok	agent_work/mps_adaptive_sweep/report/tables/mps_adaptive_top_counts.tsv	
104_49	very_hard	104	aer_mps_adaptive_sweep	mps	mps_adaptive_sweep	adaptive_sweep_aggregate	aggregate_top_counts	8	00000001101110111100101100001101010101011011101001100011011110100100011111110101100011001001010101000001	stored_fraction	0.00032552083	1		0.00032552083	0			ok	agent_work/mps_adaptive_sweep/report/tables/mps_adaptive_top_counts.tsv	
104_49	very_hard	104	aer_mps_adaptive_sweep	mps	mps_adaptive_sweep	adaptive_sweep_aggregate	aggregate_top_counts	9	00000001110001110101110110001010010001011011111000111101001111101000001100111101000110100001101110110100	stored_fraction	0.00032552083	1		0.00032552083	0			ok	agent_work/mps_adaptive_sweep/report/tables/mps_adaptive_top_counts.tsv	
