challenge	difficulty	qubits	method	method_family	source_sessions	run_id	rank_type	rank	bitstring_qiskit	score_type	score	count	support	fraction	selected	review	validation	status	source_path	notes
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps	final_candidate	1	1111000101101011	probability	0.4665367321191776			0.4665367321191776	1		"{""bit_order_note"":""Right-most bit is qubit 0."",""final_matches_known"":true,""known_answer"":""1111000101101011"",""known_answers_are_qiskit_counts_order"":true}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	statevector_exact
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial8:spectral:bd64:seed20260612	sample_top	14	1111000101101011	sample_fraction	0.46728515625	1914		0.46728515625	1		"{""bit_order_note"":""Right-most bit is qubit 0."",""final_matches_known"":true,""known_answer"":""1111000101101011"",""known_answers_are_qiskit_counts_order"":true}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	-
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial10:mincut:bd32:seed20260614	sample_top	15	1111000101101011	sample_fraction	0.4619140625	1892		0.4619140625	1		"{""bit_order_note"":""Right-most bit is qubit 0."",""final_matches_known"":true,""known_answer"":""1111000101101011"",""known_answers_are_qiskit_counts_order"":true}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	-
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial12:mincut:bd128:seed20260616	sample_top	15	1111000101101011	sample_fraction	0.457763671875	1875		0.457763671875	1		"{""bit_order_note"":""Right-most bit is qubit 0."",""final_matches_known"":true,""known_answer"":""1111000101101011"",""known_answers_are_qiskit_counts_order"":true}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	-
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial14:greedy:bd64:seed20260618	sample_top	15	1111000101101011	sample_fraction	0.4482421875	1836		0.4482421875	1		"{""bit_order_note"":""Right-most bit is qubit 0."",""final_matches_known"":true,""known_answer"":""1111000101101011"",""known_answers_are_qiskit_counts_order"":true}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	-
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial1:native:bd32:seed20260605	sample_top	15	1111000101101011	sample_fraction	0.46875	1920		0.46875	1		"{""bit_order_note"":""Right-most bit is qubit 0."",""final_matches_known"":true,""known_answer"":""1111000101101011"",""known_answers_are_qiskit_counts_order"":true}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	-
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial2:native:bd64:seed20260606	sample_top	15	1111000101101011	sample_fraction	0.460693359375	1887		0.460693359375	1		"{""bit_order_note"":""Right-most bit is qubit 0."",""final_matches_known"":true,""known_answer"":""1111000101101011"",""known_answers_are_qiskit_counts_order"":true}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	-
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial3:native:bd128:seed20260607	sample_top	15	1111000101101011	sample_fraction	0.465087890625	1905		0.465087890625	1		"{""bit_order_note"":""Right-most bit is qubit 0."",""final_matches_known"":true,""known_answer"":""1111000101101011"",""known_answers_are_qiskit_counts_order"":true}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	-
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial5:rcm:bd64:seed20260609	sample_top	15	1111000101101011	sample_fraction	0.460693359375	1887		0.460693359375	1		"{""bit_order_note"":""Right-most bit is qubit 0."",""final_matches_known"":true,""known_answer"":""1111000101101011"",""known_answers_are_qiskit_counts_order"":true}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	-
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial7:spectral:bd32:seed20260611	sample_top	15	1111000101101011	sample_fraction	0.474609375	1944		0.474609375	1		"{""bit_order_note"":""Right-most bit is qubit 0."",""final_matches_known"":true,""known_answer"":""1111000101101011"",""known_answers_are_qiskit_counts_order"":true}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	-
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial9:spectral:bd128:seed20260613	sample_top	15	1111000101101011	sample_fraction	0.47021484375	1926		0.47021484375	1		"{""bit_order_note"":""Right-most bit is qubit 0."",""final_matches_known"":true,""known_answer"":""1111000101101011"",""known_answers_are_qiskit_counts_order"":true}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	-
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial11:mincut:bd64:seed20260615	sample_top	16	1111000101101011	sample_fraction	0.466796875	1912		0.466796875	1		"{""bit_order_note"":""Right-most bit is qubit 0."",""final_matches_known"":true,""known_answer"":""1111000101101011"",""known_answers_are_qiskit_counts_order"":true}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	-
