challenge	difficulty	qubits	method	method_family	source_sessions	run_id	rank_type	rank	bitstring_qiskit	score_type	score	count	support	fraction	selected	review	validation	status	source_path	notes
104_49	very_hard	104	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_heuristic	1	10111001110001111111101100101101100001101110111100110000111101111111111111101001111000000000000000000000						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
16_12	easy	16	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_heuristic	1	0010001000001010						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=False
16_2	very easy	16	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_heuristic	1	0000000000000000						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=False
16_28	moderate	16	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_heuristic	1	0000001000000000						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=False
24_13	easy	24	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_heuristic	1	000000000001000000000001						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
24_29	moderate	24	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_heuristic	1	000001000000000000010000						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
24_3	very easy	24	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_heuristic	1	000001000100110001100001						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
28_4	very easy	28	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_heuristic	1	0100000000001000000000000000						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
32_14	easy	32	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_heuristic	1	00000000100010000000000000000000						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
32_30	moderate	32	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_heuristic	1	00010000000000000000000010100110						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
32_5	very easy	32	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_heuristic	1	00000100000000000110000000101000						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
36_15	easy	36	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_heuristic	1	000100000000000000000000000000000000						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
36_6	very easy	36	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_heuristic	1	000000000000000001000001000000001000						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
40_16	easy	40	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_heuristic	1	0100010010010000000000100100000000110000						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
40_17	easy	40	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_heuristic	1	1000010010011000000100001010000000001000						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
40_18	easy	40	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_heuristic	1	0000000000000000000010000000000000100010						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
40_35	hard	40	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_heuristic	1	1011000010100000000111100000110010000101						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
40_7	very easy	40	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_heuristic	1	0000111010010000000001001100000000000001						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
48_19	easy	48	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_heuristic	1	001000100100000000001000000000000000011001000001						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
48_20	easy	48	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_heuristic	1	000000000001000000110000001000000000010000000000						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
48_21	easy	48	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_heuristic	1	000000010100000010000000000000010000100000000100						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
