challenge	difficulty	qubits	method	method_family	source_sessions	run_id	rank_type	rank	bitstring_qiskit	score_type	score	count	support	fraction	selected	review	validation	status	source_path	notes
104_49	very_hard	104	algebraic_simplify_swaponly	heuristic	algebraic_simplify	static_summary	static_heuristic	1	00010000000000000000000000001000000000000001000001000000000000000000001100000000001000000000000000000000						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
16_12	easy	16	algebraic_simplify_swaponly	heuristic	algebraic_simplify	static_summary	static_heuristic	1	0000001001000110						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=False
16_2	very easy	16	algebraic_simplify_swaponly	heuristic	algebraic_simplify	static_summary	static_heuristic	1	0000000000000000						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=False
16_28	moderate	16	algebraic_simplify_swaponly	heuristic	algebraic_simplify	static_summary	static_heuristic	1	0000001000000000						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=False
24_13	easy	24	algebraic_simplify_swaponly	heuristic	algebraic_simplify	static_summary	static_heuristic	1	000000000000010000000001						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
24_29	moderate	24	algebraic_simplify_swaponly	heuristic	algebraic_simplify	static_summary	static_heuristic	1	001001000000000000000000						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
24_3	very easy	24	algebraic_simplify_swaponly	heuristic	algebraic_simplify	static_summary	static_heuristic	1	000001100001110001100000						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
28_4	very easy	28	algebraic_simplify_swaponly	heuristic	algebraic_simplify	static_summary	static_heuristic	1	1000000000000000000000000000						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
32_14	easy	32	algebraic_simplify_swaponly	heuristic	algebraic_simplify	static_summary	static_heuristic	1	00000000100010000000000000000000						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
32_30	moderate	32	algebraic_simplify_swaponly	heuristic	algebraic_simplify	static_summary	static_heuristic	1	00010001000000000000000100000010						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
32_5	very easy	32	algebraic_simplify_swaponly	heuristic	algebraic_simplify	static_summary	static_heuristic	1	01100000000000000100000000001100						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
36_15	easy	36	algebraic_simplify_swaponly	heuristic	algebraic_simplify	static_summary	static_heuristic	1	000100000000000000000000000000000000						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
36_6	very easy	36	algebraic_simplify_swaponly	heuristic	algebraic_simplify	static_summary	static_heuristic	1	000000000000000001000001000000001000						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
40_16	easy	40	algebraic_simplify_swaponly	heuristic	algebraic_simplify	static_summary	static_heuristic	1	0101010000010000000000100000001000000000						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
40_17	easy	40	algebraic_simplify_swaponly	heuristic	algebraic_simplify	static_summary	static_heuristic	1	1000000000000100000100001100010000000000						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
40_18	easy	40	algebraic_simplify_swaponly	heuristic	algebraic_simplify	static_summary	static_heuristic	1	0000000000001000000000000000000000100010						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
40_35	hard	40	algebraic_simplify_swaponly	heuristic	algebraic_simplify	static_summary	static_heuristic	1	0000000000000000000000001001000110100001						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
40_7	very easy	40	algebraic_simplify_swaponly	heuristic	algebraic_simplify	static_summary	static_heuristic	1	0000111010010000000001001100000000000001						0		heuristic_only	heuristic	agent_work/algebraic_simplify/summary.csv	exact_available_match=
