challenge	difficulty	qubits	method	method_family	source_sessions	run_id	rank_type	rank	bitstring_qiskit	score_type	score	count	support	fraction	selected	review	validation	status	source_path	notes
16_12	easy	16	collector_snapshot	collector	tree_tensor_sim_session	collector_selected:16_12	collector_selected	1	1111000101101011	sample_fraction	0.46653673211917734			0.46653673211917734	1		exact	exact	research/tree_tensor_sim_session/artifacts/collector/CANDIDATES.tsv	exact_statevector
16_12	easy	16	collector_snapshot	collector	quantum_peak_session	collector_selected:16_12	collector_selected	1	1111000101101011	sample_fraction	0.46653673211917734			0.46653673211917734	1		exact	exact	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	exact_statevector
16_2	very easy	16	collector_snapshot	collector	tree_tensor_sim_session	collector_selected:16_2	collector_selected	1	1010101011001000	sample_fraction	0.46696962421756005			0.46696962421756005	1		exact	exact	research/tree_tensor_sim_session/artifacts/collector/CANDIDATES.tsv	exact_statevector
16_2	very easy	16	collector_snapshot	collector	quantum_peak_session	collector_selected:16_2	collector_selected	1	1010101011001000	sample_fraction	0.46696962421756005			0.46696962421756005	1		exact	exact	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	exact_statevector
16_28	moderate	16	collector_snapshot	collector	tree_tensor_sim_session	collector_selected:16_28	collector_selected	1	1101001111011100	sample_fraction	0.3962059348034266			0.3962059348034266	1		exact	exact	research/tree_tensor_sim_session/artifacts/collector/CANDIDATES.tsv	exact_statevector
16_28	moderate	16	collector_snapshot	collector	quantum_peak_session	collector_selected:16_28	collector_selected	1	1101001111011100	sample_fraction	0.3962059348034266			0.3962059348034266	1		exact	exact	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	exact_statevector
24_13	easy	24	collector_snapshot	collector	tree_tensor_sim_session	collector_selected:24_13	collector_selected	1	111110011111001011010001	sample_fraction	0.5912482860105316			0.5912482860105316	1		exact	exact	research/tree_tensor_sim_session/artifacts/collector/CANDIDATES.tsv	exact_statevector
24_13	easy	24	collector_snapshot	collector	quantum_peak_session	collector_selected:24_13	collector_selected	1	111110011111001011010001	sample_fraction	0.5912482860105316			0.5912482860105316	1		exact	exact	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	exact_statevector
24_29	moderate	24	collector_snapshot	collector	tree_tensor_sim_session	collector_selected:24_29	collector_selected	1	110100010111100001001001	sample_fraction	0.3900966376778103			0.3900966376778103	1		exact	exact	research/tree_tensor_sim_session/artifacts/collector/CANDIDATES.tsv	exact_statevector
24_29	moderate	24	collector_snapshot	collector	quantum_peak_session	collector_selected:24_29	collector_selected	1	110100010111100001001001	sample_fraction	0.3900966376778103			0.3900966376778103	1		exact	exact	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	exact_statevector
