challenge	difficulty	qubits	method	method_family	source_sessions	run_id	rank_type	rank	bitstring_qiskit	score_type	score	count	support	fraction	selected	review	validation	status	source_path	notes
56_39	hard	56	quimb_degree_cpu	quimb	tree_tensor_sim_session	challenge-56_39.quimb_tree_graph_mps	final_candidate	1	01010110001001010111111111010111011000100000111011000001	margin	0.000602354466542887				0		"{""known_answer_qiskit_order"":null,""status"":""unknown""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/degree_cpu/json/challenge-56_39.quimb_tree_graph_mps.json	-
56_39	hard	56	quimb_degree_cpu	quimb	tree_tensor_sim_session	challenge-56_39.quimb_tree_graph_mps	marginal_candidate	1	10010111001101010100111101010110010100110000111001010000	margin	0.000602354466542887				0		"{""known_answer_qiskit_order"":null,""status"":""unknown""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/degree_cpu/json/challenge-56_39.quimb_tree_graph_mps.json	-
56_39	hard	56	quimb_degree_cpu	quimb	tree_tensor_sim_session	challenge-56_39.quimb_tree_graph_mps	sample_top	1	01010110001001010111111111010111011000100000111011000001	sample_fraction	0.001953125	1		0.001953125	0		"{""known_answer_qiskit_order"":null,""status"":""unknown""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/degree_cpu/json/challenge-56_39.quimb_tree_graph_mps.json	-
56_39	hard	56	quimb_degree_cpu	quimb	tree_tensor_sim_session	challenge-56_39.quimb_tree_graph_mps	sample_top	2	10011111001001011111111111010101010100110000101001010000	sample_fraction	0.001953125	1		0.001953125	0		"{""known_answer_qiskit_order"":null,""status"":""unknown""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/degree_cpu/json/challenge-56_39.quimb_tree_graph_mps.json	-
56_39	hard	56	quimb_degree_cpu	quimb	tree_tensor_sim_session	challenge-56_39.quimb_tree_graph_mps	sample_top	3	10010101001000011101111111110111010000110001101111000101	sample_fraction	0.001953125	1		0.001953125	0		"{""known_answer_qiskit_order"":null,""status"":""unknown""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/degree_cpu/json/challenge-56_39.quimb_tree_graph_mps.json	-
56_39	hard	56	quimb_degree_cpu	quimb	tree_tensor_sim_session	challenge-56_39.quimb_tree_graph_mps	sample_top	4	10100100001001010100111111010111110110110000011001010001	sample_fraction	0.001953125	1		0.001953125	0		"{""known_answer_qiskit_order"":null,""status"":""unknown""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/degree_cpu/json/challenge-56_39.quimb_tree_graph_mps.json	-
56_39	hard	56	quimb_degree_cpu	quimb	tree_tensor_sim_session	challenge-56_39.quimb_tree_graph_mps	sample_top	5	10010111001001010111111101111100110101111010110001010110	sample_fraction	0.001953125	1		0.001953125	0		"{""known_answer_qiskit_order"":null,""status"":""unknown""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/degree_cpu/json/challenge-56_39.quimb_tree_graph_mps.json	-
56_39	hard	56	quimb_degree_cpu	quimb	tree_tensor_sim_session	challenge-56_39.quimb_tree_graph_mps	sample_top	6	10010111001101010101111101110110110001110010011101110100	sample_fraction	0.001953125	1		0.001953125	0		"{""known_answer_qiskit_order"":null,""status"":""unknown""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/degree_cpu/json/challenge-56_39.quimb_tree_graph_mps.json	-
56_39	hard	56	quimb_degree_cpu	quimb	tree_tensor_sim_session	challenge-56_39.quimb_tree_graph_mps	sample_top	7	00110101001110010100111111110111010100101000101011100010	sample_fraction	0.001953125	1		0.001953125	0		"{""known_answer_qiskit_order"":null,""status"":""unknown""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/degree_cpu/json/challenge-56_39.quimb_tree_graph_mps.json	-
56_39	hard	56	quimb_degree_cpu	quimb	tree_tensor_sim_session	challenge-56_39.quimb_tree_graph_mps	sample_top	8	10110111001101011100111101010111110100010000101001010000	sample_fraction	0.001953125	1		0.001953125	0		"{""known_answer_qiskit_order"":null,""status"":""unknown""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/degree_cpu/json/challenge-56_39.quimb_tree_graph_mps.json	-
