challenge	difficulty	qubits	method	method_family	source_sessions	run_id	rank_type	rank	bitstring_qiskit	score_type	score	count	support	fraction	selected	review	validation	status	source_path	notes
16_28	moderate	16	quimb_fast_cpu	quimb	tree_tensor_sim_session	challenge-16_28.quimb_tree_graph_mps	final_candidate	1	1101001111011100	margin	0.29502065487728235				1		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1101001111011100"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/fast_cpu/json/challenge-16_28.quimb_tree_graph_mps.json	-
16_28	moderate	16	quimb_fast_cpu	quimb	tree_tensor_sim_session	challenge-16_28.quimb_tree_graph_mps	marginal_candidate	1	1101001111011100	margin	0.29502065487728235				1		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1101001111011100"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/fast_cpu/json/challenge-16_28.quimb_tree_graph_mps.json	-
16_28	moderate	16	quimb_fast_cpu	quimb	tree_tensor_sim_session	challenge-16_28.quimb_tree_graph_mps	sample_top	1	1101001111011100	sample_fraction	0.458984375	235		0.458984375	1		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1101001111011100"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/fast_cpu/json/challenge-16_28.quimb_tree_graph_mps.json	-
16_28	moderate	16	quimb_fast_cpu	quimb	quantum_peak_session	collector_evidence:16_28:4	collector_evidence	4	1101001111011100	sample_fraction	0.458984375			0.458984375	1		correct	correct	outputs/tree_tensor_sim/fast_cpu/json/challenge-16_28.quimb_tree_graph_mps.json	collector priority 50
16_28	moderate	16	quimb_fast_cpu	quimb	tree_tensor_sim_session	collector_evidence:16_28:5	collector_evidence	5	1101001111011100	sample_fraction	0.458984375			0.458984375	1		correct	correct	outputs/tree_tensor_sim/fast_cpu/json/challenge-16_28.quimb_tree_graph_mps.json	collector priority 50
16_28	moderate	16	quimb_fast_cpu	quimb	tree_tensor_sim_session	challenge-16_28.quimb_tree_graph_mps	sample_top	2	1111001111011100	sample_fraction	0.05859375	30		0.05859375	0		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1101001111011100"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/fast_cpu/json/challenge-16_28.quimb_tree_graph_mps.json	-
16_28	moderate	16	quimb_fast_cpu	quimb	tree_tensor_sim_session	challenge-16_28.quimb_tree_graph_mps	sample_top	3	0111001101011100	sample_fraction	0.03125	16		0.03125	0		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1101001111011100"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/fast_cpu/json/challenge-16_28.quimb_tree_graph_mps.json	-
16_28	moderate	16	quimb_fast_cpu	quimb	tree_tensor_sim_session	challenge-16_28.quimb_tree_graph_mps	sample_top	4	1111001101011100	sample_fraction	0.02734375	14		0.02734375	0		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1101001111011100"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/fast_cpu/json/challenge-16_28.quimb_tree_graph_mps.json	-
16_28	moderate	16	quimb_fast_cpu	quimb	tree_tensor_sim_session	challenge-16_28.quimb_tree_graph_mps	sample_top	5	0101001101011100	sample_fraction	0.0234375	12		0.0234375	0		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1101001111011100"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/fast_cpu/json/challenge-16_28.quimb_tree_graph_mps.json	-
16_28	moderate	16	quimb_fast_cpu	quimb	tree_tensor_sim_session	challenge-16_28.quimb_tree_graph_mps	sample_top	6	0101001111011100	sample_fraction	0.021484375	11		0.021484375	0		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1101001111011100"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/fast_cpu/json/challenge-16_28.quimb_tree_graph_mps.json	-
