challenge	difficulty	qubits	method	method_family	source_sessions	run_id	rank_type	rank	bitstring_qiskit	score_type	score	count	support	fraction	selected	review	validation	status	source_path	notes
16_12	easy	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_12.quimb_tree_graph_mps	final_candidate	1	1111000101101011	margin	0.2422262737256926				1		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1111000101101011"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_12.quimb_tree_graph_mps.json	-
16_12	easy	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_12.quimb_tree_graph_mps	marginal_candidate	1	1111000101101011	margin	0.2422262737256926				1		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1111000101101011"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_12.quimb_tree_graph_mps.json	-
16_12	easy	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_12.quimb_tree_graph_mps	sample_top	1	1111000101101011	sample_fraction	0.484375	992		0.484375	1		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1111000101101011"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_12.quimb_tree_graph_mps.json	-
16_12	easy	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_12.quimb_tree_graph_mps	sample_top	2	1111010101101011	sample_fraction	0.06982421875	143		0.06982421875	0		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1111000101101011"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_12.quimb_tree_graph_mps.json	-
16_12	easy	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_12.quimb_tree_graph_mps	sample_top	3	1011000101101011	sample_fraction	0.064453125	132		0.064453125	0		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1111000101101011"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_12.quimb_tree_graph_mps.json	-
16_12	easy	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_12.quimb_tree_graph_mps	sample_top	4	1111010101101010	sample_fraction	0.06005859375	123		0.06005859375	0		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1111000101101011"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_12.quimb_tree_graph_mps.json	-
16_12	easy	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_12.quimb_tree_graph_mps	sample_top	5	1110010101101011	sample_fraction	0.05419921875	111		0.05419921875	0		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1111000101101011"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_12.quimb_tree_graph_mps.json	-
16_12	easy	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_12.quimb_tree_graph_mps	sample_top	6	1111000101101010	sample_fraction	0.037109375	76		0.037109375	0		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1111000101101011"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_12.quimb_tree_graph_mps.json	-
16_12	easy	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_12.quimb_tree_graph_mps	sample_top	7	1010000101101010	sample_fraction	0.029296875	60		0.029296875	0		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1111000101101011"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_12.quimb_tree_graph_mps.json	-
16_12	easy	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_12.quimb_tree_graph_mps	sample_top	8	1111100001101011	sample_fraction	0.02490234375	51		0.02490234375	0		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1111000101101011"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_12.quimb_tree_graph_mps.json	-
16_12	easy	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_12.quimb_tree_graph_mps	sample_top	9	1011000100101011	sample_fraction	0.021484375	44		0.021484375	0		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1111000101101011"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_12.quimb_tree_graph_mps.json	-
16_12	easy	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_12.quimb_tree_graph_mps	sample_top	10	1110000101101010	sample_fraction	0.0166015625	34		0.0166015625	0		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1111000101101011"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_12.quimb_tree_graph_mps.json	-
16_12	easy	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_12.quimb_tree_graph_mps	sample_top	11	1010010101101010	sample_fraction	0.01318359375	27		0.01318359375	0		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1111000101101011"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_12.quimb_tree_graph_mps.json	-
16_12	easy	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_12.quimb_tree_graph_mps	sample_top	12	1011000001101011	sample_fraction	0.0107421875	22		0.0107421875	0		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1111000101101011"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_12.quimb_tree_graph_mps.json	-
16_28	moderate	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_28.quimb_tree_graph_mps	final_candidate	1	1101001111011100	margin	0.2687059798477712				1		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1101001111011100"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_28.quimb_tree_graph_mps.json	-
16_28	moderate	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_28.quimb_tree_graph_mps	marginal_candidate	1	1101001111011100	margin	0.2687059798477712				1		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1101001111011100"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_28.quimb_tree_graph_mps.json	-
16_28	moderate	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_28.quimb_tree_graph_mps	sample_top	1	1101001111011100	sample_fraction	0.38916015625	797		0.38916015625	1		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1101001111011100"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_28.quimb_tree_graph_mps.json	-
16_28	moderate	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_28.quimb_tree_graph_mps	sample_top	2	1111001111011100	sample_fraction	0.033203125	68		0.033203125	0		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1101001111011100"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_28.quimb_tree_graph_mps.json	-
16_28	moderate	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_28.quimb_tree_graph_mps	sample_top	3	0111001101011100	sample_fraction	0.021484375	44		0.021484375	0		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1101001111011100"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_28.quimb_tree_graph_mps.json	-
16_28	moderate	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_28.quimb_tree_graph_mps	sample_top	4	1111001101011100	sample_fraction	0.01806640625	37		0.01806640625	0		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1101001111011100"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_28.quimb_tree_graph_mps.json	-
16_28	moderate	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_28.quimb_tree_graph_mps	sample_top	5	1101011111011100	sample_fraction	0.01611328125	33		0.01611328125	0		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1101001111011100"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_28.quimb_tree_graph_mps.json	-
16_28	moderate	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_28.quimb_tree_graph_mps	sample_top	6	0101001101011100	sample_fraction	0.013671875	28		0.013671875	0		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1101001111011100"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_28.quimb_tree_graph_mps.json	-
16_28	moderate	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_28.quimb_tree_graph_mps	sample_top	7	0101100110011000	sample_fraction	0.009765625	20		0.009765625	0		"{""candidate_results"":{""final_qiskit_order"":true,""marginal_qiskit_order"":true,""sample_top_qiskit_order"":true},""known_answer_qiskit_order"":""1101001111011100"",""status"":""correct""}"	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_28.quimb_tree_graph_mps.json	-
