challenge	difficulty	qubits	method	method_family	source_sessions	run_id	status	source_path	worktree	commit	backend	shots	max_bond	seed	ordering	seconds	notes
104_49	very_hard	104	aer_mps_adaptive_sweep	mps	mps_adaptive_sweep	adaptive_sweep_aggregate	ok	agent_work/mps_adaptive_sweep/report/tables/mps_adaptive_summary.tsv	quantum-junction	fc4f546		3072	64				classification=flat_low_support; completed=4/6; exact_match=False; matches_previous=False; settings=scout_bd32:512/bd32x2; scout_bd64:1024/bd64x2
104_49	very_hard	104	aer_mps_selected	mps	tree_tensor_sim_session	challenge-104_49.mps	ok	../quantum-junction-tree-tensor/outputs/sim_11_26_34_41_49/json/challenge-104_49.mps.json	quantum-junction-tree-tensor	ebe2a6a		1024	32	12345			-
104_49	very_hard	104	aer_mps_selected	mps	quantum_peak_session,tree_tensor_sim_session	challenge-104_49.mps	ok	outputs/sim_11_26_34_41_49/json/challenge-104_49.mps.json	quantum-junction	ebe2a6a		1024	32	12345			
104_49	very_hard	104	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_analysis	agent_work/algebraic_simplify/summary.csv	quantum-junction	019dc8c							linear_windows=4001; snapped=1395
104_49	very_hard	104	algebraic_simplify_swaponly	heuristic	algebraic_simplify	static_summary	static_analysis	agent_work/algebraic_simplify/summary.csv	quantum-junction	019dc8c							linear_windows=4001; snapped=1395
104_49	very_hard	104	peaked_mpo_unswap_gpu	mpo	tree_tensor_sim_session	challenge-104_49.peaked_mpo_unswap	started	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/peaked_unswap_gpu/json/challenge-104_49.peaked_mpo_unswap.json	quantum-junction-tree-tensor	7b27bc7		1000	8192	20260612			mpo_iterative_cancellation_unswapping
104_49	very_hard	104	quimb_cpu_all	quimb	tree_tensor_sim_session	challenge-104_49.quimb_tree_graph_mps	started	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all_cpu/json/challenge-104_49.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7		1024	512	20260605	weighted_spectral		graph_ordered_mps_fallback
104_49	very_hard	104	quimb_degree_cpu	quimb	tree_tensor_sim_session	challenge-104_49.quimb_tree_graph_mps	started	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/degree_cpu/json/challenge-104_49.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7		512	128	20260609	degree		graph_ordered_mps_fallback
104_49	very_hard	104	quimb_fast_cpu	quimb	tree_tensor_sim_session	challenge-104_49.quimb_tree_graph_mps	started	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/fast_cpu/json/challenge-104_49.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7		512	128	20260606	weighted_spectral		graph_ordered_mps_fallback
104_49	very_hard	104	quimb_identity_cpu	quimb	tree_tensor_sim_session	challenge-104_49.quimb_tree_graph_mps	started	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/identity_cpu/json/challenge-104_49.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7		512	128	20260610	identity		graph_ordered_mps_fallback
104_49	very_hard	104	quimb_mid_cpu	quimb	tree_tensor_sim_session	challenge-104_49.quimb_tree_graph_mps	started	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/mid_cpu/json/challenge-104_49.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7		1024	256	20260611	weighted_spectral		graph_ordered_mps_fallback
104_49	very_hard	104	quimb_mst_cpu	quimb	tree_tensor_sim_session	challenge-104_49.quimb_tree_graph_mps	started	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/mst_cpu/json/challenge-104_49.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7		512	128	20260608	mst_dfs		graph_ordered_mps_fallback
104_49	very_hard	104	quimb_rcm_cpu	quimb	tree_tensor_sim_session	challenge-104_49.quimb_tree_graph_mps	started	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/rcm_cpu/json/challenge-104_49.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7		512	128	20260607	rcm		graph_ordered_mps_fallback
104_49	very_hard	104	selected_statevector	exact	tree_tensor_sim_session	challenge-104_49.statevector	skipped	../quantum-junction-tree-tensor/outputs/sim_11_26_34_41_49/json/challenge-104_49.statevector.json	quantum-junction-tree-tensor	ebe2a6a							statevector requires about 3.02e+23 GiB for amplitudes only
104_49	very_hard	104	selected_statevector	exact	quantum_peak_session,tree_tensor_sim_session	challenge-104_49.statevector	skipped	outputs/sim_11_26_34_41_49/json/challenge-104_49.statevector.json	quantum-junction	ebe2a6a							statevector requires about 3.02e+23 GiB for amplitudes only
16_12	easy	16	aer_mps_adaptive_sweep	mps	mps_adaptive_sweep	adaptive_sweep_aggregate	ok	agent_work/mps_adaptive_sweep/report/tables/mps_adaptive_summary.tsv	quantum-junction	fc4f546		40960	128				classification=exact_match; completed=6/6; exact_match=True; matches_previous=True; settings=baseline:4096/bd64x2; more_bond:8192/bd128x2; more_shots:8192/bd64x2
16_12	easy	16	aer_mps_pilot	mps	quantum_peak_session,tree_tensor_sim_session	collector_evidence:16_12:4	stable_high_config	agent_work/mps_distill/summaries/pilot_candidates.tsv	quantum-junction	019dc8c							collector priority 40
16_12	easy	16	aer_mps_pilot	mps	tree_tensor_sim_session	mps_distill_pilot	stable_high_config	../quantum-junction-tree-tensor/agent_work/mps_distill/summaries/pilot_summary.json	quantum-junction-tree-tensor	019dc8c		4096	64			0.519010066986084	ok_trials=6; expected=6
16_12	easy	16	aer_mps_pilot	mps	quantum_peak_session,tree_tensor_sim_session	mps_distill_pilot	stable_high_config	agent_work/mps_distill/summaries/pilot_summary.json	quantum-junction	019dc8c		4096	64			0.519010066986084	ok_trials=6; expected=6
16_12	easy	16	aer_tree_mps_all	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial1:rcm:bd64:seed20260605	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	64	20260605	rcm	1.6603028709068894	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_all	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial2:rcm:bd128:seed20260606	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	128	20260606	rcm	1.5387944940011948	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_all	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial3:spectral:bd64:seed20260607	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	64	20260607	spectral	1.3880171159980819	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_all	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial4:spectral:bd128:seed20260608	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	128	20260608	spectral	1.4147910879692063	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_all	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial5:mincut:bd64:seed20260609	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	64	20260609	mincut	1.5364342189859599	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_all	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial6:mincut:bd128:seed20260610	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	128	20260610	mincut	1.5574229760095477	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_all	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial7:greedy:bd64:seed20260611	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	64	20260611	greedy	1.413111097062938	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_all	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial8:greedy:bd128:seed20260612	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	128	20260612	greedy	1.56451825494878	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial10:mincut:bd32:seed20260614	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	32	20260614	mincut	0.30287652602419257	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial11:mincut:bd64:seed20260615	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	64	20260615	mincut	0.4121038479497656	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial12:mincut:bd128:seed20260616	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	128	20260616	mincut	0.40785838500596583	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial13:greedy:bd32:seed20260617	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	32	20260617	greedy	0.3567797129508108	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial14:greedy:bd64:seed20260618	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	64	20260618	greedy	0.20741749403532594	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial15:greedy:bd128:seed20260619	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	128	20260619	greedy	0.20666631893254817	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial1:native:bd32:seed20260605	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	32	20260605	native	0.2709140710067004	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial2:native:bd64:seed20260606	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	64	20260606	native	0.21677077503409237	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial3:native:bd128:seed20260607	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	128	20260607	native	0.21807675797026604	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial4:rcm:bd32:seed20260608	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	32	20260608	rcm	0.3264169510221109	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial5:rcm:bd64:seed20260609	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	64	20260609	rcm	0.4893313869833946	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial6:rcm:bd128:seed20260610	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	128	20260610	rcm	0.3638598290272057	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial7:spectral:bd32:seed20260611	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	32	20260611	spectral	0.21219185704831034	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial8:spectral:bd64:seed20260612	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	64	20260612	spectral	0.26774319796822965	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial9:spectral:bd128:seed20260613	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	128	20260613	spectral	0.26195615995675325	graph_ordered_mps_fallback
16_12	easy	16	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_analysis	agent_work/algebraic_simplify/summary.csv	quantum-junction	019dc8c							linear_windows=73; snapped=129
16_12	easy	16	algebraic_simplify_swaponly	heuristic	algebraic_simplify	static_summary	static_analysis	agent_work/algebraic_simplify/summary.csv	quantum-junction	019dc8c							linear_windows=73; snapped=129
16_12	easy	16	collector_snapshot	collector	tree_tensor_sim_session	collector_selected:16_12	exact	research/tree_tensor_sim_session/artifacts/collector/CANDIDATES.tsv	quantum-junction	801d2ef							selected from exact_statevector
16_12	easy	16	collector_snapshot	collector	quantum_peak_session	collector_selected:16_12	exact	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from exact_statevector
16_12	easy	16	exact_statevector	exact	quantum_peak_session,tree_tensor_sim_session	collector_evidence:16_12:1	exact	agent_work/exact_baseline/peaks_exact.csv	quantum-junction	019dc8c							collector priority 100
16_12	easy	16	exact_statevector	exact	tree_tensor_sim_session	exact_statevector	ok	../quantum-junction-tree-tensor/agent_work/exact_baseline/peaks_exact.jsonl	quantum-junction-tree-tensor	019dc8c	qiskit-aer-statevector					0.3803794609993929	exact statevector top list
16_12	easy	16	exact_statevector	exact	quantum_peak_session,tree_tensor_sim_session	exact_statevector	ok	agent_work/exact_baseline/peaks_exact.jsonl	quantum-junction	019dc8c	qiskit-aer-statevector					0.3803794609993929	exact statevector top list
16_12	easy	16	peaked_mpo_mps	mpo	tree_tensor_sim_session	challenge-16_12.peaked_mpo_mps	ok	../quantum-junction-tree-tensor/outputs/peaked_circuit_sim_all/json/challenge-16_12.peaked_mpo_mps.json	quantum-junction-tree-tensor	ebe2a6a	cuda		512	123		113.71320221800124	peaked circuit MPO/MPS marginal candidate
16_12	easy	16	peaked_mpo_mps	mpo	quantum_peak_session,tree_tensor_sim_session	challenge-16_12.peaked_mpo_mps	ok	outputs/peaked_circuit_sim_all/json/challenge-16_12.peaked_mpo_mps.json	quantum-junction	ebe2a6a	cuda		512	123		113.71320221800124	peaked circuit MPO/MPS marginal candidate
16_12	easy	16	quimb_cpu_all	quimb	tree_tensor_sim_session	challenge-16_12.quimb_tree_graph_mps	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all_cpu/json/challenge-16_12.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7	numpy	1024	512	20260605	weighted_spectral	5.105488528031856	graph_ordered_mps_fallback
16_12	easy	16	quimb_cpu_all	quimb	quantum_peak_session,tree_tensor_sim_session	collector_evidence:16_12:3	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-16_12.quimb_tree_graph_mps.json	quantum-junction	801d2ef			24			5.105488528031856	collector priority 80
16_12	easy	16	quimb_gpu_all	quimb	tree_tensor_sim_session	challenge-16_12.quimb_tree_graph_mps	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_12.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7	cuda	1024	512	20260605	weighted_spectral	10.699602320091799	graph_ordered_mps_fallback
16_12	easy	16	quimb_gpu_all	quimb	quantum_peak_session,tree_tensor_sim_session	collector_evidence:16_12:2	correct	outputs/tree_tensor_sim/all/json/challenge-16_12.quimb_tree_graph_mps.json	quantum-junction	801d2ef			24			10.699602320091799	collector priority 90
