session	challenge	difficulty	qubits	method	run_id	rank_type	rank	bitstring_qiskit	score_type	score	count	support	fraction	selected	validation	status	source_path	notes
quantum_peak_session	8_1	very easy	8	peaked_mpo_mps	challenge-8_1.peaked_mpo_mps	marginal_candidate	1	10101101	margin	0.46011586774681057				1		ok	outputs/peaked_circuit_sim_pilot/json/challenge-8_1.peaked_mpo_mps.json	-
quantum_peak_session	8_11	easy	8	peaked_mpo_mps	challenge-8_11.peaked_mpo_mps	marginal_candidate	1	01001110	margin	0.20984602363420202				1		ok	outputs/peaked_circuit_sim_all/json/challenge-8_11.peaked_mpo_mps.json	-
quantum_peak_session	16_12	easy	16	peaked_mpo_mps	challenge-16_12.peaked_mpo_mps	marginal_candidate	1	1111000101101011	margin	0.22950455473781894				1		ok	outputs/peaked_circuit_sim_all/json/challenge-16_12.peaked_mpo_mps.json	-
quantum_peak_session	24_13	easy	24	peaked_mpo_mps	challenge-24_13.peaked_mpo_mps	marginal_candidate	1	111110011111001011010011	margin	4.9960036108132044e-15				0		ok	outputs/peaked_circuit_sim_all/json/challenge-24_13.peaked_mpo_mps.json	-
quantum_peak_session	32_14	easy	32	peaked_mpo_mps	challenge-32_14.peaked_mpo_mps	marginal_candidate	1	00000111001101000101110111101100	margin	8.24681582878295e-05				0		ok	outputs/peaked_circuit_sim_all/json/challenge-32_14.peaked_mpo_mps.json	-
quantum_peak_session	36_15	easy	36	peaked_mpo_mps	challenge-36_15.peaked_mpo_mps	marginal_candidate	1	101000011011111010101100111011001100	margin	0.0032318699240154736				0		ok	outputs/peaked_circuit_sim_all/json/challenge-36_15.peaked_mpo_mps.json	-
quantum_peak_session	40_16	easy	40	peaked_mpo_mps	challenge-40_16.peaked_mpo_mps	marginal_candidate	1	0101110101001110010000110011100110010100	margin	2.9976021664879227e-15				0		ok	outputs/peaked_circuit_sim_all/json/challenge-40_16.peaked_mpo_mps.json	-
quantum_peak_session	40_17	easy	40	peaked_mpo_mps	challenge-40_17.peaked_mpo_mps	marginal_candidate	1	0010010101010111001001000010001000001001	margin	5.743267575619715e-05				1		ok	outputs/peaked_circuit_sim_all/json/challenge-40_17.peaked_mpo_mps.json	-
quantum_peak_session	40_18	easy	40	peaked_mpo_mps	challenge-40_18.peaked_mpo_mps	marginal_candidate	1	1110010011010011000001010001010101100011	margin	4.625189120588402e-13				0		ok	outputs/peaked_circuit_sim_all/json/challenge-40_18.peaked_mpo_mps.json	-
quantum_peak_session	48_19	easy	48	peaked_mpo_mps	challenge-48_19.peaked_mpo_mps	marginal_candidate	1	011001010111101100111110000001011101001110010000	margin	5.662137425588298e-15				1		ok	outputs/peaked_circuit_sim_all/json/challenge-48_19.peaked_mpo_mps.json	-
quantum_peak_session	48_20	easy	48	peaked_mpo_mps	challenge-48_20.peaked_mpo_mps	marginal_candidate	1	010111000101001011110000100000011000010000010010	margin	1.0149850948604211e-07				0		ok	outputs/peaked_circuit_sim_all/json/challenge-48_20.peaked_mpo_mps.json	-
quantum_peak_session	56_22	easy	56	peaked_mpo_mps	challenge-56_22.peaked_mpo_mps	marginal_candidate	1	11100100100110010011110010110110011000000100010111111011	margin	0.45320984643640316				1		ok	outputs/peaked_circuit_sim_all/json/challenge-56_22.peaked_mpo_mps.json	-
quantum_peak_session	56_23	easy	56	peaked_mpo_mps	challenge-56_23.peaked_mpo_mps	marginal_candidate	1	10100011000000101011101011011110111101110010000010000001	margin	6.004086117172847e-13				0		ok	outputs/peaked_circuit_sim_all/json/challenge-56_23.peaked_mpo_mps.json	-
quantum_peak_session	8_27	moderate	8	peaked_mpo_mps	challenge-8_27.peaked_mpo_mps	marginal_candidate	1	11001001	margin	0.2259314960027733				1		ok	outputs/peaked_circuit_sim_pilot/json/challenge-8_27.peaked_mpo_mps.json	-
