session	challenge	difficulty	qubits	method	run_id	rank_type	rank	bitstring_qiskit	score_type	score	count	support	fraction	selected	validation	status	source_path	notes
quantum_peak_session	8_1	very easy	8	quimb_cpu_all	collector_evidence:8_1:2	collector_evidence	2	10101101	sample_fraction	0.9013671875			0.9013671875	1	correct	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-8_1.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	16_2	very easy	16	quimb_cpu_all	collector_evidence:16_2:2	collector_evidence	2	1010101011001000	sample_fraction	0.4716796875			0.4716796875	1	correct	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-16_2.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	24_3	very easy	24	quimb_cpu_all	collector_evidence:24_3:2	collector_evidence	2	011110010000101010001000	sample_fraction	0.6982421875			0.6982421875	1	correct	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-24_3.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	28_4	very easy	28	quimb_cpu_all	collector_evidence:28_4:2	collector_evidence	2	1111111000101010110110011111	sample_fraction	0.4619140625			0.4619140625	1	correct	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-28_4.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	32_5	very easy	32	quimb_cpu_all	collector_evidence:32_5:1	collector_evidence	1	00111000101010100001000000010000	sample_fraction	0.5322265625			0.5322265625	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-32_5.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	36_6	very easy	36	quimb_cpu_all	collector_evidence:36_6:1	collector_evidence	1	100110100111101001001101110011001000	sample_fraction	0.6884765625			0.6884765625	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-36_6.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	40_7	very easy	40	quimb_cpu_all	collector_evidence:40_7:1	collector_evidence	1	0110111011010001010011111110010011000111	sample_fraction	0.87890625			0.87890625	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-40_7.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	48_8	very easy	48	quimb_cpu_all	collector_evidence:48_8:1	collector_evidence	1	000100100110111001001111111100101011001110010100	sample_fraction	0.697265625			0.697265625	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-48_8.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	56_9	very easy	56	quimb_cpu_all	collector_evidence:56_9:1	collector_evidence	1	10010110101100101110100110010110011101100110001101010100	sample_fraction	0.78125			0.78125	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-56_9.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	64_10	very easy	64	quimb_cpu_all	collector_evidence:64_10:1	collector_evidence	1	0011010010110001110010111001100100101100010111110110010100101011	sample_fraction	0.787109375			0.787109375	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-64_10.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	8_11	easy	8	quimb_cpu_all	collector_evidence:8_11:3	collector_evidence	3	01001110	sample_fraction	0.52734375			0.52734375	1	correct	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-8_11.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	16_12	easy	16	quimb_cpu_all	collector_evidence:16_12:3	collector_evidence	3	1111000101101011	sample_fraction	0.494140625			0.494140625	1	correct	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-16_12.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	24_13	easy	24	quimb_cpu_all	collector_evidence:24_13:3	collector_evidence	3	111110011111001011010001	sample_fraction	0.6171875			0.6171875	1	correct	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-24_13.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	32_14	easy	32	quimb_cpu_all	collector_evidence:32_14:2	collector_evidence	2	00000101001101000001011111101100	sample_fraction	0.4716796875			0.4716796875	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-32_14.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	36_15	easy	36	quimb_cpu_all	collector_evidence:36_15:2	collector_evidence	2	110110011011111111011001011110101111	sample_fraction	0.03125			0.03125	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-36_15.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	40_16	easy	40	quimb_cpu_all	collector_evidence:40_16:2	collector_evidence	2	0101110101001110011000111011100110010110	sample_fraction	0.4423828125			0.4423828125	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-40_16.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	40_17	easy	40	quimb_cpu_all	collector_evidence:40_17:2	collector_evidence	2	0010010101010111001001000010001000001001	sample_fraction	0.5458984375			0.5458984375	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-40_17.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	40_18	easy	40	quimb_cpu_all	collector_evidence:40_18:2	collector_evidence	2	0100000110010010001101111000111111001110	sample_fraction	0.439453125			0.439453125	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-40_18.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	48_19	easy	48	quimb_cpu_all	collector_evidence:48_19:2	collector_evidence	2	011001010111101100111110000001011101001110010000	sample_fraction	0.673828125			0.673828125	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-48_19.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	48_20	easy	48	quimb_cpu_all	collector_evidence:48_20:2	collector_evidence	2	101010100101001010000110101000001011110010000000	sample_fraction	0.6123046875			0.6123046875	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-48_20.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	48_21	easy	48	quimb_cpu_all	collector_evidence:48_21:2	collector_evidence	2	111010101110101011110101000001101000100000001001	sample_fraction	0.44140625			0.44140625	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-48_21.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	56_22	easy	56	quimb_cpu_all	collector_evidence:56_22:2	collector_evidence	2	11100100100110010011110010110110011000000100010111111011	sample_fraction	0.58984375			0.58984375	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-56_22.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	56_23	easy	56	quimb_cpu_all	collector_evidence:56_23:2	collector_evidence	2	01001101001111111100000101001110111011100011111100001101	sample_fraction	0.4970703125			0.4970703125	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-56_23.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	56_24	easy	56	quimb_cpu_all	collector_evidence:56_24:2	collector_evidence	2	10011001001111101111111011101011101101010011001011110001	sample_fraction	0.517578125			0.517578125	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-56_24.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	64_25	easy	64	quimb_cpu_all	collector_evidence:64_25:2	collector_evidence	2	0011101111110000110110111101011000010000010100110111000001111011	sample_fraction	0.396484375			0.396484375	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-64_25.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	64_26	easy	64	quimb_cpu_all	collector_evidence:64_26:2	collector_evidence	2	0110101010100011010111011000011100010110110110011100011001100110	sample_fraction	0.263671875			0.263671875	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-64_26.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	8_27	moderate	8	quimb_cpu_all	collector_evidence:8_27:2	collector_evidence	2	11001001	sample_fraction	0.2705078125			0.2705078125	1	correct	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-8_27.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	16_28	moderate	16	quimb_cpu_all	collector_evidence:16_28:3	collector_evidence	3	1101001111011100	sample_fraction	0.3740234375			0.3740234375	1	correct	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-16_28.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	24_29	moderate	24	quimb_cpu_all	collector_evidence:24_29:2	collector_evidence	2	110100010111100001001001	sample_fraction	0.03125			0.03125	1	correct	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-24_29.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	32_30	moderate	32	quimb_cpu_all	collector_evidence:32_30:1	collector_evidence	1	10011000010011110111101111010111	sample_fraction	0.1357421875			0.1357421875	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-32_30.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	48_31	moderate	48	quimb_cpu_all	collector_evidence:48_31:1	collector_evidence	1	101100111000101011111111101010111011011000110110	sample_fraction	0.4208984375			0.4208984375	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-48_31.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	48_32	moderate	48	quimb_cpu_all	collector_evidence:48_32:1	collector_evidence	1	011101010111011110001110010101010101101110001110	sample_fraction	0.265625			0.265625	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-48_32.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	56_33	moderate	56	quimb_cpu_all	collector_evidence:56_33:1	collector_evidence	1	11001001100101001111010100100010010101111111011101010000	sample_fraction	0.041015625			0.041015625	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-56_33.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	64_34	moderate	64	quimb_cpu_all	collector_evidence:64_34:1	collector_evidence	1	0011010100010011001110101110100101001011001011011001111011100110	sample_fraction	0.1630859375			0.1630859375	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-64_34.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	40_35	hard	40	quimb_cpu_all	collector_evidence:40_35:2	collector_evidence	2	0111110111110111101000011110000100001011	sample_fraction	0.0009765625			0.0009765625	0	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-40_35.quimb_tree_graph_mps.json	collector priority 80
quantum_peak_session	48_37	hard	48	quimb_cpu_all	collector_evidence:48_37:2	collector_evidence	2	100101001010001101010100100101001001000101010001	sample_fraction	0.0009765625			0.0009765625	1	unknown	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-48_37.quimb_tree_graph_mps.json	collector priority 80
