session	challenge	difficulty	qubits	method	run_id	rank_type	rank	bitstring_qiskit	score_type	score	count	support	fraction	selected	validation	status	source_path	notes
quantum_peak_session	32_14	easy	32	quimb_rcm_cpu	collector_evidence:32_14:3	collector_evidence	3	00000101001101000001011111101100	sample_fraction	0.458984375			0.458984375	1	unknown	unknown	outputs/tree_tensor_sim/rcm_cpu/json/challenge-32_14.quimb_tree_graph_mps.json	collector priority 55
quantum_peak_session	36_15	easy	36	quimb_rcm_cpu	collector_evidence:36_15:3	collector_evidence	3	110110011011011111011000011111101111	sample_fraction	0.00390625			0.00390625	0	unknown	unknown	outputs/tree_tensor_sim/rcm_cpu/json/challenge-36_15.quimb_tree_graph_mps.json	collector priority 55
quantum_peak_session	40_17	easy	40	quimb_rcm_cpu	collector_evidence:40_17:3	collector_evidence	3	0010010101010111001001000010001000001001	sample_fraction	0.5234375			0.5234375	1	unknown	unknown	outputs/tree_tensor_sim/rcm_cpu/json/challenge-40_17.quimb_tree_graph_mps.json	collector priority 55
quantum_peak_session	40_18	easy	40	quimb_rcm_cpu	collector_evidence:40_18:3	collector_evidence	3	0100000110010010001101111000111111001110	sample_fraction	0.216796875			0.216796875	1	unknown	unknown	outputs/tree_tensor_sim/rcm_cpu/json/challenge-40_18.quimb_tree_graph_mps.json	collector priority 55
quantum_peak_session	56_24	easy	56	quimb_rcm_cpu	collector_evidence:56_24:3	collector_evidence	3	10011001001111101111111011101011101101010011001011110001	sample_fraction	0.095703125			0.095703125	1	unknown	unknown	outputs/tree_tensor_sim/rcm_cpu/json/challenge-56_24.quimb_tree_graph_mps.json	collector priority 55
quantum_peak_session	64_25	easy	64	quimb_rcm_cpu	collector_evidence:64_25:3	collector_evidence	3	0011101111110000110110111101011000010000010100110111000001111011	sample_fraction	0.01171875			0.01171875	1	unknown	unknown	outputs/tree_tensor_sim/rcm_cpu/json/challenge-64_25.quimb_tree_graph_mps.json	collector priority 55
quantum_peak_session	64_26	easy	64	quimb_rcm_cpu	collector_evidence:64_26:3	collector_evidence	3	0110101010100011010111011000011101010110110010011100011001100110	sample_fraction	0.01171875			0.01171875	0	unknown	unknown	outputs/tree_tensor_sim/rcm_cpu/json/challenge-64_26.quimb_tree_graph_mps.json	collector priority 55
quantum_peak_session	24_29	moderate	24	quimb_rcm_cpu	collector_evidence:24_29:3	collector_evidence	3	100100100110101001101100	sample_fraction	0.001953125			0.001953125	0	incorrect	incorrect	outputs/tree_tensor_sim/rcm_cpu/json/challenge-24_29.quimb_tree_graph_mps.json	collector priority 55
quantum_peak_session	32_30	moderate	32	quimb_rcm_cpu	collector_evidence:32_30:2	collector_evidence	2	10011000010011110111101111000111	sample_fraction	0.01171875			0.01171875	0	unknown	unknown	outputs/tree_tensor_sim/rcm_cpu/json/challenge-32_30.quimb_tree_graph_mps.json	collector priority 55
quantum_peak_session	48_31	moderate	48	quimb_rcm_cpu	collector_evidence:48_31:2	collector_evidence	2	101100111000101011111111001010111011011000110110	sample_fraction	0.01171875			0.01171875	0	unknown	unknown	outputs/tree_tensor_sim/rcm_cpu/json/challenge-48_31.quimb_tree_graph_mps.json	collector priority 55
quantum_peak_session	48_32	moderate	48	quimb_rcm_cpu	collector_evidence:48_32:2	collector_evidence	2	011101010111011110001110010101010101101110001110	sample_fraction	0.0234375			0.0234375	1	unknown	unknown	outputs/tree_tensor_sim/rcm_cpu/json/challenge-48_32.quimb_tree_graph_mps.json	collector priority 55
quantum_peak_session	56_33	moderate	56	quimb_rcm_cpu	collector_evidence:56_33:2	collector_evidence	2	11000001000100001100000100100110110100111100111001010001	sample_fraction	0.001953125			0.001953125	0	unknown	unknown	outputs/tree_tensor_sim/rcm_cpu/json/challenge-56_33.quimb_tree_graph_mps.json	collector priority 55
quantum_peak_session	64_34	moderate	64	quimb_rcm_cpu	collector_evidence:64_34:2	collector_evidence	2	0011010100010011101110101110100101101011001011011001111011100110	sample_fraction	0.029296875			0.029296875	0	unknown	unknown	outputs/tree_tensor_sim/rcm_cpu/json/challenge-64_34.quimb_tree_graph_mps.json	collector priority 55
quantum_peak_session	48_36	hard	48	quimb_rcm_cpu	collector_evidence:48_36:2	collector_evidence	2	001000010010111000010000100001111011011011011001	sample_fraction	0.001953125			0.001953125	0	unknown	unknown	outputs/tree_tensor_sim/rcm_cpu/json/challenge-48_36.quimb_tree_graph_mps.json	collector priority 55
quantum_peak_session	48_37	hard	48	quimb_rcm_cpu	collector_evidence:48_37:3	collector_evidence	3	001110010010111100111010100101011000100000001000	sample_fraction	0.001953125			0.001953125	0	unknown	unknown	outputs/tree_tensor_sim/rcm_cpu/json/challenge-48_37.quimb_tree_graph_mps.json	collector priority 55
quantum_peak_session	56_38	hard	56	quimb_rcm_cpu	collector_evidence:56_38:1	collector_evidence	1	10011001011110000000010011010101100001001001110110110001	sample_fraction	0.001953125			0.001953125	1	unknown	unknown	outputs/tree_tensor_sim/rcm_cpu/json/challenge-56_38.quimb_tree_graph_mps.json	collector priority 55
