session	challenge	difficulty	qubits	method	method_family	run_id	status	source_path	worktree	commit	backend	shots	max_bond	seed	ordering	seconds	notes
tree_tensor_sim_session	8_1	very easy	8	aer_tree_mps_pilot	mps	challenge-8_1.tree_tensor_mps:trial10:greedy:bd32:seed20260614	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-8_1.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	32	20260614	greedy	0.01994010992348194	graph_ordered_mps_fallback
tree_tensor_sim_session	8_1	very easy	8	aer_tree_mps_pilot	mps	challenge-8_1.tree_tensor_mps:trial11:greedy:bd64:seed20260615	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-8_1.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	64	20260615	greedy	0.01986033096909523	graph_ordered_mps_fallback
tree_tensor_sim_session	8_1	very easy	8	aer_tree_mps_pilot	mps	challenge-8_1.tree_tensor_mps:trial12:greedy:bd128:seed20260616	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-8_1.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	128	20260616	greedy	0.0204784891102463	graph_ordered_mps_fallback
tree_tensor_sim_session	8_1	very easy	8	aer_tree_mps_pilot	mps	challenge-8_1.tree_tensor_mps:trial1:native:bd32:seed20260605	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-8_1.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	32	20260605	native	0.02037573605775833	graph_ordered_mps_fallback
tree_tensor_sim_session	8_1	very easy	8	aer_tree_mps_pilot	mps	challenge-8_1.tree_tensor_mps:trial2:native:bd64:seed20260606	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-8_1.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	64	20260606	native	0.01971915806643665	graph_ordered_mps_fallback
tree_tensor_sim_session	8_1	very easy	8	aer_tree_mps_pilot	mps	challenge-8_1.tree_tensor_mps:trial3:native:bd128:seed20260607	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-8_1.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	128	20260607	native	0.019961379934102297	graph_ordered_mps_fallback
tree_tensor_sim_session	8_1	very easy	8	aer_tree_mps_pilot	mps	challenge-8_1.tree_tensor_mps:trial4:rcm:bd32:seed20260608	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-8_1.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	32	20260608	rcm	0.019703658996149898	graph_ordered_mps_fallback
tree_tensor_sim_session	8_1	very easy	8	aer_tree_mps_pilot	mps	challenge-8_1.tree_tensor_mps:trial5:rcm:bd64:seed20260609	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-8_1.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	64	20260609	rcm	0.019807863049209118	graph_ordered_mps_fallback
tree_tensor_sim_session	8_1	very easy	8	aer_tree_mps_pilot	mps	challenge-8_1.tree_tensor_mps:trial6:rcm:bd128:seed20260610	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-8_1.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	128	20260610	rcm	0.019766817102208734	graph_ordered_mps_fallback
tree_tensor_sim_session	8_1	very easy	8	aer_tree_mps_pilot	mps	challenge-8_1.tree_tensor_mps:trial7:spectral:bd32:seed20260611	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-8_1.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	32	20260611	spectral	0.019705610815435648	graph_ordered_mps_fallback
tree_tensor_sim_session	8_1	very easy	8	aer_tree_mps_pilot	mps	challenge-8_1.tree_tensor_mps:trial8:spectral:bd64:seed20260612	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-8_1.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	64	20260612	spectral	0.02014289004728198	graph_ordered_mps_fallback
tree_tensor_sim_session	8_1	very easy	8	aer_tree_mps_pilot	mps	challenge-8_1.tree_tensor_mps:trial9:spectral:bd128:seed20260613	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-8_1.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	128	20260613	spectral	0.019753901986405253	graph_ordered_mps_fallback
tree_tensor_sim_session	8_1	very easy	8	collector_snapshot	collector	collector_selected:8_1	exact	research/tree_tensor_sim_session/artifacts/collector/CANDIDATES.tsv	quantum-junction	801d2ef							selected from exact_statevector
tree_tensor_sim_session	8_1	very easy	8	exact_statevector	exact	collector_evidence:8_1:1	exact	agent_work/exact_baseline/peaks_exact.csv	quantum-junction	019dc8c							collector priority 100
tree_tensor_sim_session	8_1	very easy	8	exact_statevector	exact	exact_statevector	ok	../quantum-junction-tree-tensor/agent_work/exact_baseline/peaks_exact.jsonl	quantum-junction-tree-tensor	019dc8c	qiskit-aer-statevector					0.002705266000702977	exact statevector top list
tree_tensor_sim_session	8_1	very easy	8	exact_statevector	exact	exact_statevector	ok	agent_work/exact_baseline/peaks_exact.jsonl	quantum-junction	019dc8c	qiskit-aer-statevector					0.002705266000702977	exact statevector top list
tree_tensor_sim_session	8_1	very easy	8	peaked_mpo_mps	mpo	challenge-8_1.peaked_mpo_mps	ok	../quantum-junction-tree-tensor/outputs/peaked_circuit_sim_pilot/json/challenge-8_1.peaked_mpo_mps.json	quantum-junction-tree-tensor	ebe2a6a	cuda		512	123		71.84728003299097	peaked circuit MPO/MPS marginal candidate
tree_tensor_sim_session	8_1	very easy	8	peaked_mpo_mps	mpo	challenge-8_1.peaked_mpo_mps	ok	outputs/peaked_circuit_sim_pilot/json/challenge-8_1.peaked_mpo_mps.json	quantum-junction	ebe2a6a	cuda		512	123		71.84728003299097	peaked circuit MPO/MPS marginal candidate
tree_tensor_sim_session	8_1	very easy	8	quimb_cpu_all	quimb	challenge-8_1.quimb_tree_graph_mps	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all_cpu/json/challenge-8_1.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7	numpy	1024	512	20260605	weighted_spectral	1.3561234130174853	graph_ordered_mps_fallback
tree_tensor_sim_session	8_1	very easy	8	quimb_cpu_all	quimb	collector_evidence:8_1:2	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-8_1.quimb_tree_graph_mps.json	quantum-junction	801d2ef			2			1.3561234130174853	collector priority 80
tree_tensor_sim_session	8_1	very easy	8	quimb_pilot	quimb	challenge-8_1.quimb_tree_graph_mps	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-8_1.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7	cuda	2048	512	20260605	weighted_spectral	42.75344394799322	graph_ordered_mps_fallback
tree_tensor_sim_session	16_2	very easy	16	aer_tree_mps_all	mps	challenge-16_2.tree_tensor_mps:trial1:rcm:bd64:seed20260605	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_2.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	64	20260605	rcm	0.7534944289363921	graph_ordered_mps_fallback
tree_tensor_sim_session	16_2	very easy	16	aer_tree_mps_all	mps	challenge-16_2.tree_tensor_mps:trial2:rcm:bd128:seed20260606	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_2.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	128	20260606	rcm	0.7216240558773279	graph_ordered_mps_fallback
tree_tensor_sim_session	16_2	very easy	16	aer_tree_mps_all	mps	challenge-16_2.tree_tensor_mps:trial3:spectral:bd64:seed20260607	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_2.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	64	20260607	spectral	0.7245323830284178	graph_ordered_mps_fallback
tree_tensor_sim_session	16_2	very easy	16	aer_tree_mps_all	mps	challenge-16_2.tree_tensor_mps:trial4:spectral:bd128:seed20260608	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_2.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	128	20260608	spectral	0.7006303928792477	graph_ordered_mps_fallback
tree_tensor_sim_session	16_2	very easy	16	aer_tree_mps_all	mps	challenge-16_2.tree_tensor_mps:trial5:mincut:bd64:seed20260609	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_2.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	64	20260609	mincut	0.6681410600431263	graph_ordered_mps_fallback
tree_tensor_sim_session	16_2	very easy	16	aer_tree_mps_all	mps	challenge-16_2.tree_tensor_mps:trial6:mincut:bd128:seed20260610	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_2.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	128	20260610	mincut	0.6740041798911989	graph_ordered_mps_fallback
tree_tensor_sim_session	16_2	very easy	16	aer_tree_mps_all	mps	challenge-16_2.tree_tensor_mps:trial7:greedy:bd64:seed20260611	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_2.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	64	20260611	greedy	0.6204755869694054	graph_ordered_mps_fallback
tree_tensor_sim_session	16_2	very easy	16	aer_tree_mps_all	mps	challenge-16_2.tree_tensor_mps:trial8:greedy:bd128:seed20260612	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_2.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	128	20260612	greedy	0.6311668090056628	graph_ordered_mps_fallback
tree_tensor_sim_session	16_2	very easy	16	collector_snapshot	collector	collector_selected:16_2	exact	research/tree_tensor_sim_session/artifacts/collector/CANDIDATES.tsv	quantum-junction	801d2ef							selected from exact_statevector
tree_tensor_sim_session	16_2	very easy	16	exact_statevector	exact	collector_evidence:16_2:1	exact	agent_work/exact_baseline/peaks_exact.csv	quantum-junction	019dc8c							collector priority 100
tree_tensor_sim_session	16_2	very easy	16	exact_statevector	exact	exact_statevector	ok	../quantum-junction-tree-tensor/agent_work/exact_baseline/peaks_exact.jsonl	quantum-junction-tree-tensor	019dc8c	qiskit-aer-statevector					0.02058972699160222	exact statevector top list
tree_tensor_sim_session	16_2	very easy	16	exact_statevector	exact	exact_statevector	ok	agent_work/exact_baseline/peaks_exact.jsonl	quantum-junction	019dc8c	qiskit-aer-statevector					0.02058972699160222	exact statevector top list
tree_tensor_sim_session	16_2	very easy	16	quimb_cpu_all	quimb	challenge-16_2.quimb_tree_graph_mps	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all_cpu/json/challenge-16_2.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7	numpy	1024	512	20260605	weighted_spectral	11.555157506139949	graph_ordered_mps_fallback
tree_tensor_sim_session	16_2	very easy	16	quimb_cpu_all	quimb	collector_evidence:16_2:2	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-16_2.quimb_tree_graph_mps.json	quantum-junction	801d2ef			30			11.555157506139949	collector priority 80
tree_tensor_sim_session	24_3	very easy	24	aer_tree_mps_all	mps	challenge-24_3.tree_tensor_mps:trial1:rcm:bd64:seed20260605	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-24_3.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	64	20260605	rcm	1.268552582943812	graph_ordered_mps_fallback
tree_tensor_sim_session	24_3	very easy	24	aer_tree_mps_all	mps	challenge-24_3.tree_tensor_mps:trial2:rcm:bd128:seed20260606	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-24_3.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	128	20260606	rcm	1.198030395898968	graph_ordered_mps_fallback
